player_name,player_id,team,opponent,is_home,game_id,stat,line,market_line,pmf_source,calibration_source,cal_source,role_bucket,role_source,minutes_mean,minutes_q50,p_inactive_used,mean,pmf_mean,median,mode,p0,p_ge_1,p_ge_2,p_ge_3,p_ge_4,p_ge_5,p_ge_6,p_ge_7,p_ge_8,p_ge_9,p_ge_10,p_ge_11,p_ge_12,p_ge_13,p_ge_14,p_ge_15,p_ge_16,p_ge_17,p_ge_18,p_ge_19,p_ge_20,p_over,fair_over_odds_american,fair_under_odds_american,snapshot_type,snapshot_time_utc,model_version,pipeline_run_id,pmf_valid,pmf_sum_error,calibration_confidence,market_coverage_status,tov_status,injury_freshness_status,lineup_freshness_status,role_freshness_status,injury_context_source,injury_report_fetched_at_utc,expected_lineup_status,official_lineup_status,lineup_source,line_source
Kenrich Williams,480,OKC,SAS,True,21713534,stocks,7.5,7.5,"stat_grid:component_convolution_mean_coherent_v1+components[stl:hurdle_v1+role_aware_pmf_cal_v1:bench+monotone_pit_cdf_v1+sparse_hurdle_guarded,blk:hurdle_v1+role_aware_pmf_cal_v1:bench+monotone_pit_cdf_v1+sparse_hurdle_guarded]+prior_combo[joint_sampler_v1+joint_combo_pmf_v1+role_aware_pmf_cal_v1:bench+monotone_pit_cdf_v1+sparse_hurdle_guarded]+stat_grid_final_component_convolution_mean_coherent_v1",phase8_role_aware_pmf_cal_v1+monotone_inactive_global_v1,phase8_pmf_cal,bench,derived_from_projected_minutes,14.7571,13.1792,0.05,0.4335,0.4335,0,0,0.6689,0.3311,0.0812,0.0172,0.0036,0.0005,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,morning,2026-05-30T16:51:22Z,494a3e93#phase10c,51235cba-0b50-441b-a7aa-b0e5bef2d559,ok,0.0,medium,full,current_phase8,fallback_used,projected,derived_from_projected_minutes,bdl_plus_nba_official,2026-05-30T16:50:26Z,projected,not_available_yet,bdl_lineup_freshness_manifest,model_grid
Kenrich Williams,480,OKC,SAS,True,21713534,stocks,8.5,8.5,"stat_grid:component_convolution_mean_coherent_v1+components[stl:hurdle_v1+role_aware_pmf_cal_v1:bench+monotone_pit_cdf_v1+sparse_hurdle_guarded,blk:hurdle_v1+role_aware_pmf_cal_v1:bench+monotone_pit_cdf_v1+sparse_hurdle_guarded]+prior_combo[joint_sampler_v1+joint_combo_pmf_v1+role_aware_pmf_cal_v1:bench+monotone_pit_cdf_v1+sparse_hurdle_guarded]+stat_grid_final_component_convolution_mean_coherent_v1",phase8_role_aware_pmf_cal_v1+monotone_inactive_global_v1,phase8_pmf_cal,bench,derived_from_projected_minutes,14.7571,13.1792,0.05,0.4335,0.4335,0,0,0.6689,0.3311,0.0812,0.0172,0.0036,0.0005,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,morning,2026-05-30T16:51:22Z,494a3e93#phase10c,51235cba-0b50-441b-a7aa-b0e5bef2d559,ok,0.0,medium,full,current_phase8,fallback_used,projected,derived_from_projected_minutes,bdl_plus_nba_official,2026-05-30T16:50:26Z,projected,not_available_yet,bdl_lineup_freshness_manifest,model_grid
Kenrich Williams,480,OKC,SAS,True,21713534,stocks,9.5,9.5,"stat_grid:component_convolution_mean_coherent_v1+components[stl:hurdle_v1+role_aware_pmf_cal_v1:bench+monotone_pit_cdf_v1+sparse_hurdle_guarded,blk:hurdle_v1+role_aware_pmf_cal_v1:bench+monotone_pit_cdf_v1+sparse_hurdle_guarded]+prior_combo[joint_sampler_v1+joint_combo_pmf_v1+role_aware_pmf_cal_v1:bench+monotone_pit_cdf_v1+sparse_hurdle_guarded]+stat_grid_final_component_convolution_mean_coherent_v1",phase8_role_aware_pmf_cal_v1+monotone_inactive_global_v1,phase8_pmf_cal,bench,derived_from_projected_minutes,14.7571,13.1792,0.05,0.4335,0.4335,0,0,0.6689,0.3311,0.0812,0.0172,0.0036,0.0005,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,morning,2026-05-30T16:51:22Z,494a3e93#phase10c,51235cba-0b50-441b-a7aa-b0e5bef2d559,ok,0.0,medium,full,current_phase8,fallback_used,projected,derived_from_projected_minutes,bdl_plus_nba_official,2026-05-30T16:50:26Z,projected,not_available_yet,bdl_lineup_freshness_manifest,model_grid
Kenrich Williams,480,OKC,SAS,True,21713534,stocks,10.5,10.5,"stat_grid:component_convolution_mean_coherent_v1+components[stl:hurdle_v1+role_aware_pmf_cal_v1:bench+monotone_pit_cdf_v1+sparse_hurdle_guarded,blk:hurdle_v1+role_aware_pmf_cal_v1:bench+monotone_pit_cdf_v1+sparse_hurdle_guarded]+prior_combo[joint_sampler_v1+joint_combo_pmf_v1+role_aware_pmf_cal_v1:bench+monotone_pit_cdf_v1+sparse_hurdle_guarded]+stat_grid_final_component_convolution_mean_coherent_v1",phase8_role_aware_pmf_cal_v1+monotone_inactive_global_v1,phase8_pmf_cal,bench,derived_from_projected_minutes,14.7571,13.1792,0.05,0.4335,0.4335,0,0,0.6689,0.3311,0.0812,0.0172,0.0036,0.0005,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,morning,2026-05-30T16:51:22Z,494a3e93#phase10c,51235cba-0b50-441b-a7aa-b0e5bef2d559,ok,0.0,medium,full,current_phase8,fallback_used,projected,derived_from_projected_minutes,bdl_plus_nba_official,2026-05-30T16:50:26Z,projected,not_available_yet,bdl_lineup_freshness_manifest,model_grid
Kenrich Williams,480,OKC,SAS,True,21713534,stocks,11.5,11.5,"stat_grid:component_convolution_mean_coherent_v1+components[stl:hurdle_v1+role_aware_pmf_cal_v1:bench+monotone_pit_cdf_v1+sparse_hurdle_guarded,blk:hurdle_v1+role_aware_pmf_cal_v1:bench+monotone_pit_cdf_v1+sparse_hurdle_guarded]+prior_combo[joint_sampler_v1+joint_combo_pmf_v1+role_aware_pmf_cal_v1:bench+monotone_pit_cdf_v1+sparse_hurdle_guarded]+stat_grid_final_component_convolution_mean_coherent_v1",phase8_role_aware_pmf_cal_v1+monotone_inactive_global_v1,phase8_pmf_cal,bench,derived_from_projected_minutes,14.7571,13.1792,0.05,0.4335,0.4335,0,0,0.6689,0.3311,0.0812,0.0172,0.0036,0.0005,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,morning,2026-05-30T16:51:22Z,494a3e93#phase10c,51235cba-0b50-441b-a7aa-b0e5bef2d559,ok,0.0,medium,full,current_phase8,fallback_used,projected,derived_from_projected_minutes,bdl_plus_nba_official,2026-05-30T16:50:26Z,projected,not_available_yet,bdl_lineup_freshness_manifest,model_grid
Kenrich Williams,480,OKC,SAS,True,21713534,stocks,12.5,12.5,"stat_grid:component_convolution_mean_coherent_v1+components[stl:hurdle_v1+role_aware_pmf_cal_v1:bench+monotone_pit_cdf_v1+sparse_hurdle_guarded,blk:hurdle_v1+role_aware_pmf_cal_v1:bench+monotone_pit_cdf_v1+sparse_hurdle_guarded]+prior_combo[joint_sampler_v1+joint_combo_pmf_v1+role_aware_pmf_cal_v1:bench+monotone_pit_cdf_v1+sparse_hurdle_guarded]+stat_grid_final_component_convolution_mean_coherent_v1",phase8_role_aware_pmf_cal_v1+monotone_inactive_global_v1,phase8_pmf_cal,bench,derived_from_projected_minutes,14.7571,13.1792,0.05,0.4335,0.4335,0,0,0.6689,0.3311,0.0812,0.0172,0.0036,0.0005,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,morning,2026-05-30T16:51:22Z,494a3e93#phase10c,51235cba-0b50-441b-a7aa-b0e5bef2d559,ok,0.0,medium,full,current_phase8,fallback_used,projected,derived_from_projected_minutes,bdl_plus_nba_official,2026-05-30T16:50:26Z,projected,not_available_yet,bdl_lineup_freshness_manifest,model_grid
Kenrich Williams,480,OKC,SAS,True,21713534,stocks,13.5,13.5,"stat_grid:component_convolution_mean_coherent_v1+components[stl:hurdle_v1+role_aware_pmf_cal_v1:bench+monotone_pit_cdf_v1+sparse_hurdle_guarded,blk:hurdle_v1+role_aware_pmf_cal_v1:bench+monotone_pit_cdf_v1+sparse_hurdle_guarded]+prior_combo[joint_sampler_v1+joint_combo_pmf_v1+role_aware_pmf_cal_v1:bench+monotone_pit_cdf_v1+sparse_hurdle_guarded]+stat_grid_final_component_convolution_mean_coherent_v1",phase8_role_aware_pmf_cal_v1+monotone_inactive_global_v1,phase8_pmf_cal,bench,derived_from_projected_minutes,14.7571,13.1792,0.05,0.4335,0.4335,0,0,0.6689,0.3311,0.0812,0.0172,0.0036,0.0005,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,morning,2026-05-30T16:51:22Z,494a3e93#phase10c,51235cba-0b50-441b-a7aa-b0e5bef2d559,ok,0.0,medium,full,current_phase8,fallback_used,projected,derived_from_projected_minutes,bdl_plus_nba_official,2026-05-30T16:50:26Z,projected,not_available_yet,bdl_lineup_freshness_manifest,model_grid
Kenrich Williams,480,OKC,SAS,True,21713534,stocks,14.5,14.5,"stat_grid:component_convolution_mean_coherent_v1+components[stl:hurdle_v1+role_aware_pmf_cal_v1:bench+monotone_pit_cdf_v1+sparse_hurdle_guarded,blk:hurdle_v1+role_aware_pmf_cal_v1:bench+monotone_pit_cdf_v1+sparse_hurdle_guarded]+prior_combo[joint_sampler_v1+joint_combo_pmf_v1+role_aware_pmf_cal_v1:bench+monotone_pit_cdf_v1+sparse_hurdle_guarded]+stat_grid_final_component_convolution_mean_coherent_v1",phase8_role_aware_pmf_cal_v1+monotone_inactive_global_v1,phase8_pmf_cal,bench,derived_from_projected_minutes,14.7571,13.1792,0.05,0.4335,0.4335,0,0,0.6689,0.3311,0.0812,0.0172,0.0036,0.0005,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,morning,2026-05-30T16:51:22Z,494a3e93#phase10c,51235cba-0b50-441b-a7aa-b0e5bef2d559,ok,0.0,medium,full,current_phase8,fallback_used,projected,derived_from_projected_minutes,bdl_plus_nba_official,2026-05-30T16:50:26Z,projected,not_available_yet,bdl_lineup_freshness_manifest,model_grid
Kenrich Williams,480,OKC,SAS,True,21713534,stocks,15.5,15.5,"stat_grid:component_convolution_mean_coherent_v1+components[stl:hurdle_v1+role_aware_pmf_cal_v1:bench+monotone_pit_cdf_v1+sparse_hurdle_guarded,blk:hurdle_v1+role_aware_pmf_cal_v1:bench+monotone_pit_cdf_v1+sparse_hurdle_guarded]+prior_combo[joint_sampler_v1+joint_combo_pmf_v1+role_aware_pmf_cal_v1:bench+monotone_pit_cdf_v1+sparse_hurdle_guarded]+stat_grid_final_component_convolution_mean_coherent_v1",phase8_role_aware_pmf_cal_v1+monotone_inactive_global_v1,phase8_pmf_cal,bench,derived_from_projected_minutes,14.7571,13.1792,0.05,0.4335,0.4335,0,0,0.6689,0.3311,0.0812,0.0172,0.0036,0.0005,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,morning,2026-05-30T16:51:22Z,494a3e93#phase10c,51235cba-0b50-441b-a7aa-b0e5bef2d559,ok,0.0,medium,full,current_phase8,fallback_used,projected,derived_from_projected_minutes,bdl_plus_nba_official,2026-05-30T16:50:26Z,projected,not_available_yet,bdl_lineup_freshness_manifest,model_grid
Kenrich Williams,480,OKC,SAS,True,21713534,stocks,16.5,16.5,"stat_grid:component_convolution_mean_coherent_v1+components[stl:hurdle_v1+role_aware_pmf_cal_v1:bench+monotone_pit_cdf_v1+sparse_hurdle_guarded,blk:hurdle_v1+role_aware_pmf_cal_v1:bench+monotone_pit_cdf_v1+sparse_hurdle_guarded]+prior_combo[joint_sampler_v1+joint_combo_pmf_v1+role_aware_pmf_cal_v1:bench+monotone_pit_cdf_v1+sparse_hurdle_guarded]+stat_grid_final_component_convolution_mean_coherent_v1",phase8_role_aware_pmf_cal_v1+monotone_inactive_global_v1,phase8_pmf_cal,bench,derived_from_projected_minutes,14.7571,13.1792,0.05,0.4335,0.4335,0,0,0.6689,0.3311,0.0812,0.0172,0.0036,0.0005,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,morning,2026-05-30T16:51:22Z,494a3e93#phase10c,51235cba-0b50-441b-a7aa-b0e5bef2d559,ok,0.0,medium,full,current_phase8,fallback_used,projected,derived_from_projected_minutes,bdl_plus_nba_official,2026-05-30T16:50:26Z,projected,not_available_yet,bdl_lineup_freshness_manifest,model_grid
