player_name,player_id,team,opponent,is_home,game_id,stat,line,market_line,pmf_source,calibration_source,cal_source,role_bucket,role_source,minutes_mean,minutes_q50,p_inactive_used,mean,pmf_mean,median,mode,p0,p_ge_1,p_ge_2,p_ge_3,p_ge_4,p_ge_5,p_ge_6,p_ge_7,p_ge_8,p_ge_9,p_ge_10,p_ge_11,p_ge_12,p_ge_13,p_ge_14,p_ge_15,p_ge_16,p_ge_17,p_ge_18,p_ge_19,p_ge_20,p_over,fair_over_odds_american,fair_under_odds_american,snapshot_type,snapshot_time_utc,model_version,pipeline_run_id,pmf_valid,pmf_sum_error,calibration_confidence,market_coverage_status,tov_status,injury_freshness_status,lineup_freshness_status,role_freshness_status,injury_context_source,injury_report_fetched_at_utc,expected_lineup_status,official_lineup_status,lineup_source,lineup_last_updated_utc,line_source
Alex Caruso,89,OKC,SAS,True,21713534,pts,10.5,10.5,stat_grid:pmf_sim_v1+role_aware_pmf_cal_v1:rotation+monotone_pit_cdf_v1,phase8_role_aware_pmf_cal_v1+monotone_inactive_global_v1,role_aware_pmf_cal_v1,rotation,derived_from_projected_minutes,20.6203,19.9662,0.05,8.7936,8.7936,8,8,0.046,0.954,0.9168,0.8782,0.8421,0.7883,0.7108,0.6381,0.5574,0.4742,0.3999,0.3399,0.2781,0.2253,0.1814,0.1449,0.1079,0.0905,0.0649,0.0486,0.034,0.3399,194.0,-194.0,morning,2026-05-30T22:47:50Z,6233da92#phase10c,30c4e23e-47a2-4ac0-bf0b-c3c6422ca067,ok,0.0,high,full,current_phase8,fallback_used,projected,derived_from_projected_minutes,bdl_plus_nba_official,2026-05-30T22:46:57Z,projected,not_available_yet,bdl_lineup_freshness_manifest,2026-05-30T21:12:58Z,model_grid
Alex Caruso,89,OKC,SAS,True,21713534,pts,11.5,11.5,stat_grid:pmf_sim_v1+role_aware_pmf_cal_v1:rotation+monotone_pit_cdf_v1,phase8_role_aware_pmf_cal_v1+monotone_inactive_global_v1,role_aware_pmf_cal_v1,rotation,derived_from_projected_minutes,20.6203,19.9662,0.05,8.7936,8.7936,8,8,0.046,0.954,0.9168,0.8782,0.8421,0.7883,0.7108,0.6381,0.5574,0.4742,0.3999,0.3399,0.2781,0.2253,0.1814,0.1449,0.1079,0.0905,0.0649,0.0486,0.034,0.2781,260.0,-260.0,morning,2026-05-30T22:47:50Z,6233da92#phase10c,30c4e23e-47a2-4ac0-bf0b-c3c6422ca067,ok,0.0,high,full,current_phase8,fallback_used,projected,derived_from_projected_minutes,bdl_plus_nba_official,2026-05-30T22:46:57Z,projected,not_available_yet,bdl_lineup_freshness_manifest,2026-05-30T21:12:58Z,model_grid
Alex Caruso,89,OKC,SAS,True,21713534,pts,12.5,12.5,stat_grid:pmf_sim_v1+role_aware_pmf_cal_v1:rotation+monotone_pit_cdf_v1,phase8_role_aware_pmf_cal_v1+monotone_inactive_global_v1,role_aware_pmf_cal_v1,rotation,derived_from_projected_minutes,20.6203,19.9662,0.05,8.7936,8.7936,8,8,0.046,0.954,0.9168,0.8782,0.8421,0.7883,0.7108,0.6381,0.5574,0.4742,0.3999,0.3399,0.2781,0.2253,0.1814,0.1449,0.1079,0.0905,0.0649,0.0486,0.034,0.2253,344.0,-344.0,morning,2026-05-30T22:47:50Z,6233da92#phase10c,30c4e23e-47a2-4ac0-bf0b-c3c6422ca067,ok,0.0,high,full,current_phase8,fallback_used,projected,derived_from_projected_minutes,bdl_plus_nba_official,2026-05-30T22:46:57Z,projected,not_available_yet,bdl_lineup_freshness_manifest,2026-05-30T21:12:58Z,model_grid
Alex Caruso,89,OKC,SAS,True,21713534,pts,13.5,13.5,stat_grid:pmf_sim_v1+role_aware_pmf_cal_v1:rotation+monotone_pit_cdf_v1,phase8_role_aware_pmf_cal_v1+monotone_inactive_global_v1,role_aware_pmf_cal_v1,rotation,derived_from_projected_minutes,20.6203,19.9662,0.05,8.7936,8.7936,8,8,0.046,0.954,0.9168,0.8782,0.8421,0.7883,0.7108,0.6381,0.5574,0.4742,0.3999,0.3399,0.2781,0.2253,0.1814,0.1449,0.1079,0.0905,0.0649,0.0486,0.034,0.1814,451.0,-451.0,morning,2026-05-30T22:47:50Z,6233da92#phase10c,30c4e23e-47a2-4ac0-bf0b-c3c6422ca067,ok,0.0,high,full,current_phase8,fallback_used,projected,derived_from_projected_minutes,bdl_plus_nba_official,2026-05-30T22:46:57Z,projected,not_available_yet,bdl_lineup_freshness_manifest,2026-05-30T21:12:58Z,model_grid
Alex Caruso,89,OKC,SAS,True,21713534,pts,14.5,14.5,stat_grid:pmf_sim_v1+role_aware_pmf_cal_v1:rotation+monotone_pit_cdf_v1,phase8_role_aware_pmf_cal_v1+monotone_inactive_global_v1,role_aware_pmf_cal_v1,rotation,derived_from_projected_minutes,20.6203,19.9662,0.05,8.7936,8.7936,8,8,0.046,0.954,0.9168,0.8782,0.8421,0.7883,0.7108,0.6381,0.5574,0.4742,0.3999,0.3399,0.2781,0.2253,0.1814,0.1449,0.1079,0.0905,0.0649,0.0486,0.034,0.1448,590.0,-590.0,morning,2026-05-30T22:47:50Z,6233da92#phase10c,30c4e23e-47a2-4ac0-bf0b-c3c6422ca067,ok,0.0,high,full,current_phase8,fallback_used,projected,derived_from_projected_minutes,bdl_plus_nba_official,2026-05-30T22:46:57Z,projected,not_available_yet,bdl_lineup_freshness_manifest,2026-05-30T21:12:58Z,model_grid
Alex Caruso,89,OKC,SAS,True,21713534,pts,15.5,15.5,stat_grid:pmf_sim_v1+role_aware_pmf_cal_v1:rotation+monotone_pit_cdf_v1,phase8_role_aware_pmf_cal_v1+monotone_inactive_global_v1,role_aware_pmf_cal_v1,rotation,derived_from_projected_minutes,20.6203,19.9662,0.05,8.7936,8.7936,8,8,0.046,0.954,0.9168,0.8782,0.8421,0.7883,0.7108,0.6381,0.5574,0.4742,0.3999,0.3399,0.2781,0.2253,0.1814,0.1449,0.1079,0.0905,0.0649,0.0486,0.034,0.1079,827.0,-827.0,morning,2026-05-30T22:47:50Z,6233da92#phase10c,30c4e23e-47a2-4ac0-bf0b-c3c6422ca067,ok,0.0,high,full,current_phase8,fallback_used,projected,derived_from_projected_minutes,bdl_plus_nba_official,2026-05-30T22:46:57Z,projected,not_available_yet,bdl_lineup_freshness_manifest,2026-05-30T21:12:58Z,model_grid
Alex Caruso,89,OKC,SAS,True,21713534,pts,16.5,16.5,stat_grid:pmf_sim_v1+role_aware_pmf_cal_v1:rotation+monotone_pit_cdf_v1,phase8_role_aware_pmf_cal_v1+monotone_inactive_global_v1,role_aware_pmf_cal_v1,rotation,derived_from_projected_minutes,20.6203,19.9662,0.05,8.7936,8.7936,8,8,0.046,0.954,0.9168,0.8782,0.8421,0.7883,0.7108,0.6381,0.5574,0.4742,0.3999,0.3399,0.2781,0.2253,0.1814,0.1449,0.1079,0.0905,0.0649,0.0486,0.034,0.0905,1005.0,-1005.0,morning,2026-05-30T22:47:50Z,6233da92#phase10c,30c4e23e-47a2-4ac0-bf0b-c3c6422ca067,ok,0.0,high,full,current_phase8,fallback_used,projected,derived_from_projected_minutes,bdl_plus_nba_official,2026-05-30T22:46:57Z,projected,not_available_yet,bdl_lineup_freshness_manifest,2026-05-30T21:12:58Z,model_grid
Alex Caruso,89,OKC,SAS,True,21713534,pts,17.5,17.5,stat_grid:pmf_sim_v1+role_aware_pmf_cal_v1:rotation+monotone_pit_cdf_v1,phase8_role_aware_pmf_cal_v1+monotone_inactive_global_v1,role_aware_pmf_cal_v1,rotation,derived_from_projected_minutes,20.6203,19.9662,0.05,8.7936,8.7936,8,8,0.046,0.954,0.9168,0.8782,0.8421,0.7883,0.7108,0.6381,0.5574,0.4742,0.3999,0.3399,0.2781,0.2253,0.1814,0.1449,0.1079,0.0905,0.0649,0.0486,0.034,0.0649,1441.0,-1441.0,morning,2026-05-30T22:47:50Z,6233da92#phase10c,30c4e23e-47a2-4ac0-bf0b-c3c6422ca067,ok,0.0,high,full,current_phase8,fallback_used,projected,derived_from_projected_minutes,bdl_plus_nba_official,2026-05-30T22:46:57Z,projected,not_available_yet,bdl_lineup_freshness_manifest,2026-05-30T21:12:58Z,model_grid
Alex Caruso,89,OKC,SAS,True,21713534,pts,18.5,18.5,stat_grid:pmf_sim_v1+role_aware_pmf_cal_v1:rotation+monotone_pit_cdf_v1,phase8_role_aware_pmf_cal_v1+monotone_inactive_global_v1,role_aware_pmf_cal_v1,rotation,derived_from_projected_minutes,20.6203,19.9662,0.05,8.7936,8.7936,8,8,0.046,0.954,0.9168,0.8782,0.8421,0.7883,0.7108,0.6381,0.5574,0.4742,0.3999,0.3399,0.2781,0.2253,0.1814,0.1449,0.1079,0.0905,0.0649,0.0486,0.034,0.0486,1957.0,-1957.0,morning,2026-05-30T22:47:50Z,6233da92#phase10c,30c4e23e-47a2-4ac0-bf0b-c3c6422ca067,ok,0.0,high,full,current_phase8,fallback_used,projected,derived_from_projected_minutes,bdl_plus_nba_official,2026-05-30T22:46:57Z,projected,not_available_yet,bdl_lineup_freshness_manifest,2026-05-30T21:12:58Z,model_grid
Alex Caruso,89,OKC,SAS,True,21713534,pts,19.5,19.5,stat_grid:pmf_sim_v1+role_aware_pmf_cal_v1:rotation+monotone_pit_cdf_v1,phase8_role_aware_pmf_cal_v1+monotone_inactive_global_v1,role_aware_pmf_cal_v1,rotation,derived_from_projected_minutes,20.6203,19.9662,0.05,8.7936,8.7936,8,8,0.046,0.954,0.9168,0.8782,0.8421,0.7883,0.7108,0.6381,0.5574,0.4742,0.3999,0.3399,0.2781,0.2253,0.1814,0.1449,0.1079,0.0905,0.0649,0.0486,0.034,0.034,2837.0,-2837.0,morning,2026-05-30T22:47:50Z,6233da92#phase10c,30c4e23e-47a2-4ac0-bf0b-c3c6422ca067,ok,0.0,high,full,current_phase8,fallback_used,projected,derived_from_projected_minutes,bdl_plus_nba_official,2026-05-30T22:46:57Z,projected,not_available_yet,bdl_lineup_freshness_manifest,2026-05-30T21:12:58Z,model_grid
Alex Caruso,89,OKC,SAS,True,21713534,pts,20.5,20.5,stat_grid:pmf_sim_v1+role_aware_pmf_cal_v1:rotation+monotone_pit_cdf_v1,phase8_role_aware_pmf_cal_v1+monotone_inactive_global_v1,role_aware_pmf_cal_v1,rotation,derived_from_projected_minutes,20.6203,19.9662,0.05,8.7936,8.7936,8,8,0.046,0.954,0.9168,0.8782,0.8421,0.7883,0.7108,0.6381,0.5574,0.4742,0.3999,0.3399,0.2781,0.2253,0.1814,0.1449,0.1079,0.0905,0.0649,0.0486,0.034,0.0275,3536.0,-3536.0,morning,2026-05-30T22:47:50Z,6233da92#phase10c,30c4e23e-47a2-4ac0-bf0b-c3c6422ca067,ok,0.0,high,full,current_phase8,fallback_used,projected,derived_from_projected_minutes,bdl_plus_nba_official,2026-05-30T22:46:57Z,projected,not_available_yet,bdl_lineup_freshness_manifest,2026-05-30T21:12:58Z,model_grid
Alex Caruso,89,OKC,SAS,True,21713534,pts,21.5,21.5,stat_grid:pmf_sim_v1+role_aware_pmf_cal_v1:rotation+monotone_pit_cdf_v1,phase8_role_aware_pmf_cal_v1+monotone_inactive_global_v1,role_aware_pmf_cal_v1,rotation,derived_from_projected_minutes,20.6203,19.9662,0.05,8.7936,8.7936,8,8,0.046,0.954,0.9168,0.8782,0.8421,0.7883,0.7108,0.6381,0.5574,0.4742,0.3999,0.3399,0.2781,0.2253,0.1814,0.1449,0.1079,0.0905,0.0649,0.0486,0.034,0.0204,4803.0,-4803.0,morning,2026-05-30T22:47:50Z,6233da92#phase10c,30c4e23e-47a2-4ac0-bf0b-c3c6422ca067,ok,0.0,high,full,current_phase8,fallback_used,projected,derived_from_projected_minutes,bdl_plus_nba_official,2026-05-30T22:46:57Z,projected,not_available_yet,bdl_lineup_freshness_manifest,2026-05-30T21:12:58Z,model_grid
Alex Caruso,89,OKC,SAS,True,21713534,pts,22.5,22.5,stat_grid:pmf_sim_v1+role_aware_pmf_cal_v1:rotation+monotone_pit_cdf_v1,phase8_role_aware_pmf_cal_v1+monotone_inactive_global_v1,role_aware_pmf_cal_v1,rotation,derived_from_projected_minutes,20.6203,19.9662,0.05,8.7936,8.7936,8,8,0.046,0.954,0.9168,0.8782,0.8421,0.7883,0.7108,0.6381,0.5574,0.4742,0.3999,0.3399,0.2781,0.2253,0.1814,0.1449,0.1079,0.0905,0.0649,0.0486,0.034,0.0178,5507.0,-5507.0,morning,2026-05-30T22:47:50Z,6233da92#phase10c,30c4e23e-47a2-4ac0-bf0b-c3c6422ca067,ok,0.0,high,full,current_phase8,fallback_used,projected,derived_from_projected_minutes,bdl_plus_nba_official,2026-05-30T22:46:57Z,projected,not_available_yet,bdl_lineup_freshness_manifest,2026-05-30T21:12:58Z,model_grid
Alex Caruso,89,OKC,SAS,True,21713534,pts,23.5,23.5,stat_grid:pmf_sim_v1+role_aware_pmf_cal_v1:rotation+monotone_pit_cdf_v1,phase8_role_aware_pmf_cal_v1+monotone_inactive_global_v1,role_aware_pmf_cal_v1,rotation,derived_from_projected_minutes,20.6203,19.9662,0.05,8.7936,8.7936,8,8,0.046,0.954,0.9168,0.8782,0.8421,0.7883,0.7108,0.6381,0.5574,0.4742,0.3999,0.3399,0.2781,0.2253,0.1814,0.1449,0.1079,0.0905,0.0649,0.0486,0.034,0.0107,9289.0,-9289.0,morning,2026-05-30T22:47:50Z,6233da92#phase10c,30c4e23e-47a2-4ac0-bf0b-c3c6422ca067,ok,0.0,high,full,current_phase8,fallback_used,projected,derived_from_projected_minutes,bdl_plus_nba_official,2026-05-30T22:46:57Z,projected,not_available_yet,bdl_lineup_freshness_manifest,2026-05-30T21:12:58Z,model_grid
Alex Caruso,89,OKC,SAS,True,21713534,pts,24.5,24.5,stat_grid:pmf_sim_v1+role_aware_pmf_cal_v1:rotation+monotone_pit_cdf_v1,phase8_role_aware_pmf_cal_v1+monotone_inactive_global_v1,role_aware_pmf_cal_v1,rotation,derived_from_projected_minutes,20.6203,19.9662,0.05,8.7936,8.7936,8,8,0.046,0.954,0.9168,0.8782,0.8421,0.7883,0.7108,0.6381,0.5574,0.4742,0.3999,0.3399,0.2781,0.2253,0.1814,0.1449,0.1079,0.0905,0.0649,0.0486,0.034,0.0067,14797.0,-14797.0,morning,2026-05-30T22:47:50Z,6233da92#phase10c,30c4e23e-47a2-4ac0-bf0b-c3c6422ca067,ok,0.0,high,full,current_phase8,fallback_used,projected,derived_from_projected_minutes,bdl_plus_nba_official,2026-05-30T22:46:57Z,projected,not_available_yet,bdl_lineup_freshness_manifest,2026-05-30T21:12:58Z,model_grid
Alex Caruso,89,OKC,SAS,True,21713534,pts,25.5,25.5,stat_grid:pmf_sim_v1+role_aware_pmf_cal_v1:rotation+monotone_pit_cdf_v1,phase8_role_aware_pmf_cal_v1+monotone_inactive_global_v1,role_aware_pmf_cal_v1,rotation,derived_from_projected_minutes,20.6203,19.9662,0.05,8.7936,8.7936,8,8,0.046,0.954,0.9168,0.8782,0.8421,0.7883,0.7108,0.6381,0.5574,0.4742,0.3999,0.3399,0.2781,0.2253,0.1814,0.1449,0.1079,0.0905,0.0649,0.0486,0.034,0.0044,22621.0,-22621.0,morning,2026-05-30T22:47:50Z,6233da92#phase10c,30c4e23e-47a2-4ac0-bf0b-c3c6422ca067,ok,0.0,high,full,current_phase8,fallback_used,projected,derived_from_projected_minutes,bdl_plus_nba_official,2026-05-30T22:46:57Z,projected,not_available_yet,bdl_lineup_freshness_manifest,2026-05-30T21:12:58Z,model_grid
Alex Caruso,89,OKC,SAS,True,21713534,pts,26.5,26.5,stat_grid:pmf_sim_v1+role_aware_pmf_cal_v1:rotation+monotone_pit_cdf_v1,phase8_role_aware_pmf_cal_v1+monotone_inactive_global_v1,role_aware_pmf_cal_v1,rotation,derived_from_projected_minutes,20.6203,19.9662,0.05,8.7936,8.7936,8,8,0.046,0.954,0.9168,0.8782,0.8421,0.7883,0.7108,0.6381,0.5574,0.4742,0.3999,0.3399,0.2781,0.2253,0.1814,0.1449,0.1079,0.0905,0.0649,0.0486,0.034,0.0035,28575.0,-28575.0,morning,2026-05-30T22:47:50Z,6233da92#phase10c,30c4e23e-47a2-4ac0-bf0b-c3c6422ca067,ok,0.0,high,full,current_phase8,fallback_used,projected,derived_from_projected_minutes,bdl_plus_nba_official,2026-05-30T22:46:57Z,projected,not_available_yet,bdl_lineup_freshness_manifest,2026-05-30T21:12:58Z,model_grid
Alex Caruso,89,OKC,SAS,True,21713534,pts,27.5,27.5,stat_grid:pmf_sim_v1+role_aware_pmf_cal_v1:rotation+monotone_pit_cdf_v1,phase8_role_aware_pmf_cal_v1+monotone_inactive_global_v1,role_aware_pmf_cal_v1,rotation,derived_from_projected_minutes,20.6203,19.9662,0.05,8.7936,8.7936,8,8,0.046,0.954,0.9168,0.8782,0.8421,0.7883,0.7108,0.6381,0.5574,0.4742,0.3999,0.3399,0.2781,0.2253,0.1814,0.1449,0.1079,0.0905,0.0649,0.0486,0.034,0.0033,30225.0,-30225.0,morning,2026-05-30T22:47:50Z,6233da92#phase10c,30c4e23e-47a2-4ac0-bf0b-c3c6422ca067,ok,0.0,high,full,current_phase8,fallback_used,projected,derived_from_projected_minutes,bdl_plus_nba_official,2026-05-30T22:46:57Z,projected,not_available_yet,bdl_lineup_freshness_manifest,2026-05-30T21:12:58Z,model_grid
