player_name,player_id,team,opponent,is_home,game_id,stat,line,market_line,book,market_over_odds,market_under_odds,market_no_vig_over_prob,pmf_source,calibration_source,cal_source,role_bucket,role_source,minutes_mean,minutes_q50,p_inactive_used,mean,pmf_mean,median,mode,p0,p_ge_1,p_ge_2,p_ge_3,p_ge_4,p_ge_5,p_ge_6,p_ge_7,p_ge_8,p_ge_9,p_ge_10,p_ge_11,p_ge_12,p_ge_13,p_ge_14,p_ge_15,p_ge_16,p_ge_17,p_ge_18,p_ge_19,p_ge_20,p_over,fair_over_odds_american,fair_under_odds_american,edge,snapshot_type,snapshot_time_utc,model_version,pipeline_run_id,pmf_valid,pmf_sum_error,calibration_confidence,market_coverage_status,tov_status,injury_freshness_status,lineup_freshness_status,role_freshness_status,injury_context_source,injury_report_fetched_at_utc,expected_lineup_status,official_lineup_status,lineup_source
Jarrett Allen,9,CLE,NYK,True,21713901,pts,15.5,15.5,bovada,170,-230,0.347,stat_grid:pmf_sim_v1+role_aware_pmf_cal_v1:core+monotone_pit_cdf_v1,phase8_role_aware_pmf_cal_v1+monotone_inactive_global_v1,role_aware_pmf_cal_v1,core,derived_from_projected_minutes,28.0557,30.0161,0.05,13.3724,13.3724,13,12,0.0122,0.9878,0.9805,0.9687,0.9465,0.9221,0.8906,0.856,0.8165,0.7607,0.704,0.6452,0.5823,0.5138,0.446,0.3957,0.3398,0.2936,0.2475,0.2127,0.182,0.3398,194.0,-194.0,-0.0072,pre_close,2026-05-25T19:24:35Z,951aa863#phase10c,7c4e91a2-fb14-4179-ba4c-6edec50b0609,ok,0.0,high,full,current_phase8,unknown,projected,derived_from_projected_minutes,bdl_injuries_only,2026-05-25T19:23:55Z,projected,not_available_yet,bdl_lineup_freshness_manifest
Jarrett Allen,9,CLE,NYK,True,21713901,pts,12.5,12.5,fanduel,-112,-118,0.4939,stat_grid:pmf_sim_v1+role_aware_pmf_cal_v1:core+monotone_pit_cdf_v1,phase8_role_aware_pmf_cal_v1+monotone_inactive_global_v1,role_aware_pmf_cal_v1,core,derived_from_projected_minutes,28.0557,30.0161,0.05,13.3724,13.3724,13,12,0.0122,0.9878,0.9805,0.9687,0.9465,0.9221,0.8906,0.856,0.8165,0.7607,0.704,0.6452,0.5823,0.5138,0.446,0.3957,0.3398,0.2936,0.2475,0.2127,0.182,0.5138,-106.0,106.0,0.0199,pre_close,2026-05-25T19:24:35Z,951aa863#phase10c,7c4e91a2-fb14-4179-ba4c-6edec50b0609,ok,0.0,high,full,current_phase8,unknown,projected,derived_from_projected_minutes,bdl_injuries_only,2026-05-25T19:23:55Z,projected,not_available_yet,bdl_lineup_freshness_manifest
Jarrett Allen,9,CLE,NYK,True,21713901,pts,13.5,13.5,fanduel,118,-158,0.4283,stat_grid:pmf_sim_v1+role_aware_pmf_cal_v1:core+monotone_pit_cdf_v1,phase8_role_aware_pmf_cal_v1+monotone_inactive_global_v1,role_aware_pmf_cal_v1,core,derived_from_projected_minutes,28.0557,30.0161,0.05,13.3724,13.3724,13,12,0.0122,0.9878,0.9805,0.9687,0.9465,0.9221,0.8906,0.856,0.8165,0.7607,0.704,0.6452,0.5823,0.5138,0.446,0.3957,0.3398,0.2936,0.2475,0.2127,0.182,0.446,124.0,-124.0,0.0177,pre_close,2026-05-25T19:24:35Z,951aa863#phase10c,7c4e91a2-fb14-4179-ba4c-6edec50b0609,ok,0.0,high,full,current_phase8,unknown,projected,derived_from_projected_minutes,bdl_injuries_only,2026-05-25T19:23:55Z,projected,not_available_yet,bdl_lineup_freshness_manifest
Jarrett Allen,9,CLE,NYK,True,21713901,pts,14.5,14.5,fanduel,158,-210,0.3639,stat_grid:pmf_sim_v1+role_aware_pmf_cal_v1:core+monotone_pit_cdf_v1,phase8_role_aware_pmf_cal_v1+monotone_inactive_global_v1,role_aware_pmf_cal_v1,core,derived_from_projected_minutes,28.0557,30.0161,0.05,13.3724,13.3724,13,12,0.0122,0.9878,0.9805,0.9687,0.9465,0.9221,0.8906,0.856,0.8165,0.7607,0.704,0.6452,0.5823,0.5138,0.446,0.3957,0.3398,0.2936,0.2475,0.2127,0.182,0.3957,153.0,-153.0,0.0318,pre_close,2026-05-25T19:24:35Z,951aa863#phase10c,7c4e91a2-fb14-4179-ba4c-6edec50b0609,ok,0.0,high,full,current_phase8,unknown,projected,derived_from_projected_minutes,bdl_injuries_only,2026-05-25T19:23:55Z,projected,not_available_yet,bdl_lineup_freshness_manifest
Jarrett Allen,9,CLE,NYK,True,21713901,pts,15.5,15.5,fanduel,205,-290,0.306,stat_grid:pmf_sim_v1+role_aware_pmf_cal_v1:core+monotone_pit_cdf_v1,phase8_role_aware_pmf_cal_v1+monotone_inactive_global_v1,role_aware_pmf_cal_v1,core,derived_from_projected_minutes,28.0557,30.0161,0.05,13.3724,13.3724,13,12,0.0122,0.9878,0.9805,0.9687,0.9465,0.9221,0.8906,0.856,0.8165,0.7607,0.704,0.6452,0.5823,0.5138,0.446,0.3957,0.3398,0.2936,0.2475,0.2127,0.182,0.3398,194.0,-194.0,0.0338,pre_close,2026-05-25T19:24:35Z,951aa863#phase10c,7c4e91a2-fb14-4179-ba4c-6edec50b0609,ok,0.0,high,full,current_phase8,unknown,projected,derived_from_projected_minutes,bdl_injuries_only,2026-05-25T19:23:55Z,projected,not_available_yet,bdl_lineup_freshness_manifest
Jarrett Allen,9,CLE,NYK,True,21713901,pts,16.5,16.5,fanduel,265,-390,0.2561,stat_grid:pmf_sim_v1+role_aware_pmf_cal_v1:core+monotone_pit_cdf_v1,phase8_role_aware_pmf_cal_v1+monotone_inactive_global_v1,role_aware_pmf_cal_v1,core,derived_from_projected_minutes,28.0557,30.0161,0.05,13.3724,13.3724,13,12,0.0122,0.9878,0.9805,0.9687,0.9465,0.9221,0.8906,0.856,0.8165,0.7607,0.704,0.6452,0.5823,0.5138,0.446,0.3957,0.3398,0.2936,0.2475,0.2127,0.182,0.2936,241.0,-241.0,0.0375,pre_close,2026-05-25T19:24:35Z,951aa863#phase10c,7c4e91a2-fb14-4179-ba4c-6edec50b0609,ok,0.0,high,full,current_phase8,unknown,projected,derived_from_projected_minutes,bdl_injuries_only,2026-05-25T19:23:55Z,projected,not_available_yet,bdl_lineup_freshness_manifest
Jarrett Allen,9,CLE,NYK,True,21713901,pts,17.5,17.5,fanduel,320,-500,0.2222,stat_grid:pmf_sim_v1+role_aware_pmf_cal_v1:core+monotone_pit_cdf_v1,phase8_role_aware_pmf_cal_v1+monotone_inactive_global_v1,role_aware_pmf_cal_v1,core,derived_from_projected_minutes,28.0557,30.0161,0.05,13.3724,13.3724,13,12,0.0122,0.9878,0.9805,0.9687,0.9465,0.9221,0.8906,0.856,0.8165,0.7607,0.704,0.6452,0.5823,0.5138,0.446,0.3957,0.3398,0.2936,0.2475,0.2127,0.182,0.2475,304.0,-304.0,0.0252,pre_close,2026-05-25T19:24:35Z,951aa863#phase10c,7c4e91a2-fb14-4179-ba4c-6edec50b0609,ok,0.0,high,full,current_phase8,unknown,projected,derived_from_projected_minutes,bdl_injuries_only,2026-05-25T19:23:55Z,projected,not_available_yet,bdl_lineup_freshness_manifest
Jarrett Allen,9,CLE,NYK,True,21713901,pts,12.5,12.5,fanduel,-112,-118,0.4939,stat_grid:pmf_sim_v1+role_aware_pmf_cal_v1:core+monotone_pit_cdf_v1,phase8_role_aware_pmf_cal_v1+monotone_inactive_global_v1,role_aware_pmf_cal_v1,core,derived_from_projected_minutes,28.0557,30.0161,0.05,13.3724,13.3724,13,12,0.0122,0.9878,0.9805,0.9687,0.9465,0.9221,0.8906,0.856,0.8165,0.7607,0.704,0.6452,0.5823,0.5138,0.446,0.3957,0.3398,0.2936,0.2475,0.2127,0.182,0.5138,-106.0,106.0,0.0199,pre_close,2026-05-25T19:24:35Z,951aa863#phase10c,7c4e91a2-fb14-4179-ba4c-6edec50b0609,ok,0.0,high,full,current_phase8,unknown,projected,derived_from_projected_minutes,bdl_injuries_only,2026-05-25T19:23:55Z,projected,not_available_yet,bdl_lineup_freshness_manifest
Jarrett Allen,9,CLE,NYK,True,21713901,pts,11.5,11.5,fanduel,-154,116,0.567,stat_grid:pmf_sim_v1+role_aware_pmf_cal_v1:core+monotone_pit_cdf_v1,phase8_role_aware_pmf_cal_v1+monotone_inactive_global_v1,role_aware_pmf_cal_v1,core,derived_from_projected_minutes,28.0557,30.0161,0.05,13.3724,13.3724,13,12,0.0122,0.9878,0.9805,0.9687,0.9465,0.9221,0.8906,0.856,0.8165,0.7607,0.704,0.6452,0.5823,0.5138,0.446,0.3957,0.3398,0.2936,0.2475,0.2127,0.182,0.5823,-139.0,139.0,0.0153,pre_close,2026-05-25T19:24:35Z,951aa863#phase10c,7c4e91a2-fb14-4179-ba4c-6edec50b0609,ok,0.0,high,full,current_phase8,unknown,projected,derived_from_projected_minutes,bdl_injuries_only,2026-05-25T19:23:55Z,projected,not_available_yet,bdl_lineup_freshness_manifest
Jarrett Allen,9,CLE,NYK,True,21713901,pts,9.5,9.5,fanduel,-295,210,0.6984,stat_grid:pmf_sim_v1+role_aware_pmf_cal_v1:core+monotone_pit_cdf_v1,phase8_role_aware_pmf_cal_v1+monotone_inactive_global_v1,role_aware_pmf_cal_v1,core,derived_from_projected_minutes,28.0557,30.0161,0.05,13.3724,13.3724,13,12,0.0122,0.9878,0.9805,0.9687,0.9465,0.9221,0.8906,0.856,0.8165,0.7607,0.704,0.6452,0.5823,0.5138,0.446,0.3957,0.3398,0.2936,0.2475,0.2127,0.182,0.704,-238.0,238.0,0.0056,pre_close,2026-05-25T19:24:35Z,951aa863#phase10c,7c4e91a2-fb14-4179-ba4c-6edec50b0609,ok,0.0,high,full,current_phase8,unknown,projected,derived_from_projected_minutes,bdl_injuries_only,2026-05-25T19:23:55Z,projected,not_available_yet,bdl_lineup_freshness_manifest
Jarrett Allen,9,CLE,NYK,True,21713901,pts,10.5,10.5,fanduel,-215,158,0.6378,stat_grid:pmf_sim_v1+role_aware_pmf_cal_v1:core+monotone_pit_cdf_v1,phase8_role_aware_pmf_cal_v1+monotone_inactive_global_v1,role_aware_pmf_cal_v1,core,derived_from_projected_minutes,28.0557,30.0161,0.05,13.3724,13.3724,13,12,0.0122,0.9878,0.9805,0.9687,0.9465,0.9221,0.8906,0.856,0.8165,0.7607,0.704,0.6452,0.5823,0.5138,0.446,0.3957,0.3398,0.2936,0.2475,0.2127,0.182,0.6452,-182.0,182.0,0.0074,pre_close,2026-05-25T19:24:35Z,951aa863#phase10c,7c4e91a2-fb14-4179-ba4c-6edec50b0609,ok,0.0,high,full,current_phase8,unknown,projected,derived_from_projected_minutes,bdl_injuries_only,2026-05-25T19:23:55Z,projected,not_available_yet,bdl_lineup_freshness_manifest
Jarrett Allen,9,CLE,NYK,True,21713901,pts,8.5,8.5,fanduel,-440,290,0.7606,stat_grid:pmf_sim_v1+role_aware_pmf_cal_v1:core+monotone_pit_cdf_v1,phase8_role_aware_pmf_cal_v1+monotone_inactive_global_v1,role_aware_pmf_cal_v1,core,derived_from_projected_minutes,28.0557,30.0161,0.05,13.3724,13.3724,13,12,0.0122,0.9878,0.9805,0.9687,0.9465,0.9221,0.8906,0.856,0.8165,0.7607,0.704,0.6452,0.5823,0.5138,0.446,0.3957,0.3398,0.2936,0.2475,0.2127,0.182,0.7607,-318.0,318.0,0.0,pre_close,2026-05-25T19:24:35Z,951aa863#phase10c,7c4e91a2-fb14-4179-ba4c-6edec50b0609,ok,0.0,high,full,current_phase8,unknown,projected,derived_from_projected_minutes,bdl_injuries_only,2026-05-25T19:23:55Z,projected,not_available_yet,bdl_lineup_freshness_manifest
Jarrett Allen,9,CLE,NYK,True,21713901,pts,7.5,7.5,fanduel,-650,390,0.8094,stat_grid:pmf_sim_v1+role_aware_pmf_cal_v1:core+monotone_pit_cdf_v1,phase8_role_aware_pmf_cal_v1+monotone_inactive_global_v1,role_aware_pmf_cal_v1,core,derived_from_projected_minutes,28.0557,30.0161,0.05,13.3724,13.3724,13,12,0.0122,0.9878,0.9805,0.9687,0.9465,0.9221,0.8906,0.856,0.8165,0.7607,0.704,0.6452,0.5823,0.5138,0.446,0.3957,0.3398,0.2936,0.2475,0.2127,0.182,0.8164,-445.0,445.0,0.007,pre_close,2026-05-25T19:24:35Z,951aa863#phase10c,7c4e91a2-fb14-4179-ba4c-6edec50b0609,ok,0.0,high,full,current_phase8,unknown,projected,derived_from_projected_minutes,bdl_injuries_only,2026-05-25T19:23:55Z,projected,not_available_yet,bdl_lineup_freshness_manifest
Jarrett Allen,9,CLE,NYK,True,21713901,pts,12.5,12.5,fliff,-135,-110,0.5231,stat_grid:pmf_sim_v1+role_aware_pmf_cal_v1:core+monotone_pit_cdf_v1,phase8_role_aware_pmf_cal_v1+monotone_inactive_global_v1,role_aware_pmf_cal_v1,core,derived_from_projected_minutes,28.0557,30.0161,0.05,13.3724,13.3724,13,12,0.0122,0.9878,0.9805,0.9687,0.9465,0.9221,0.8906,0.856,0.8165,0.7607,0.704,0.6452,0.5823,0.5138,0.446,0.3957,0.3398,0.2936,0.2475,0.2127,0.182,0.5138,-106.0,106.0,-0.0092,pre_close,2026-05-25T19:24:35Z,951aa863#phase10c,7c4e91a2-fb14-4179-ba4c-6edec50b0609,ok,0.0,high,full,current_phase8,unknown,projected,derived_from_projected_minutes,bdl_injuries_only,2026-05-25T19:23:55Z,projected,not_available_yet,bdl_lineup_freshness_manifest
Jarrett Allen,9,CLE,NYK,True,21713901,pts,13.5,13.5,betparx,110,-150,0.4425,stat_grid:pmf_sim_v1+role_aware_pmf_cal_v1:core+monotone_pit_cdf_v1,phase8_role_aware_pmf_cal_v1+monotone_inactive_global_v1,role_aware_pmf_cal_v1,core,derived_from_projected_minutes,28.0557,30.0161,0.05,13.3724,13.3724,13,12,0.0122,0.9878,0.9805,0.9687,0.9465,0.9221,0.8906,0.856,0.8165,0.7607,0.704,0.6452,0.5823,0.5138,0.446,0.3957,0.3398,0.2936,0.2475,0.2127,0.182,0.446,124.0,-124.0,0.0035,pre_close,2026-05-25T19:24:35Z,951aa863#phase10c,7c4e91a2-fb14-4179-ba4c-6edec50b0609,ok,0.0,high,full,current_phase8,unknown,projected,derived_from_projected_minutes,bdl_injuries_only,2026-05-25T19:23:55Z,projected,not_available_yet,bdl_lineup_freshness_manifest
Jarrett Allen,9,CLE,NYK,True,21713901,pts,12.5,12.5,betparx,-117,-114,0.503,stat_grid:pmf_sim_v1+role_aware_pmf_cal_v1:core+monotone_pit_cdf_v1,phase8_role_aware_pmf_cal_v1+monotone_inactive_global_v1,role_aware_pmf_cal_v1,core,derived_from_projected_minutes,28.0557,30.0161,0.05,13.3724,13.3724,13,12,0.0122,0.9878,0.9805,0.9687,0.9465,0.9221,0.8906,0.856,0.8165,0.7607,0.704,0.6452,0.5823,0.5138,0.446,0.3957,0.3398,0.2936,0.2475,0.2127,0.182,0.5138,-106.0,106.0,0.0108,pre_close,2026-05-25T19:24:35Z,951aa863#phase10c,7c4e91a2-fb14-4179-ba4c-6edec50b0609,ok,0.0,high,full,current_phase8,unknown,projected,derived_from_projected_minutes,bdl_injuries_only,2026-05-25T19:23:55Z,projected,not_available_yet,bdl_lineup_freshness_manifest
Jarrett Allen,9,CLE,NYK,True,21713901,pts,13.5,13.5,espnbet,110,-145,0.4459,stat_grid:pmf_sim_v1+role_aware_pmf_cal_v1:core+monotone_pit_cdf_v1,phase8_role_aware_pmf_cal_v1+monotone_inactive_global_v1,role_aware_pmf_cal_v1,core,derived_from_projected_minutes,28.0557,30.0161,0.05,13.3724,13.3724,13,12,0.0122,0.9878,0.9805,0.9687,0.9465,0.9221,0.8906,0.856,0.8165,0.7607,0.704,0.6452,0.5823,0.5138,0.446,0.3957,0.3398,0.2936,0.2475,0.2127,0.182,0.446,124.0,-124.0,0.0001,pre_close,2026-05-25T19:24:35Z,951aa863#phase10c,7c4e91a2-fb14-4179-ba4c-6edec50b0609,ok,0.0,high,full,current_phase8,unknown,projected,derived_from_projected_minutes,bdl_injuries_only,2026-05-25T19:23:55Z,projected,not_available_yet,bdl_lineup_freshness_manifest
Jarrett Allen,9,CLE,NYK,True,21713901,pts,12.5,12.5,espnbet,-120,-110,0.5101,stat_grid:pmf_sim_v1+role_aware_pmf_cal_v1:core+monotone_pit_cdf_v1,phase8_role_aware_pmf_cal_v1+monotone_inactive_global_v1,role_aware_pmf_cal_v1,core,derived_from_projected_minutes,28.0557,30.0161,0.05,13.3724,13.3724,13,12,0.0122,0.9878,0.9805,0.9687,0.9465,0.9221,0.8906,0.856,0.8165,0.7607,0.704,0.6452,0.5823,0.5138,0.446,0.3957,0.3398,0.2936,0.2475,0.2127,0.182,0.5138,-106.0,106.0,0.0037,pre_close,2026-05-25T19:24:35Z,951aa863#phase10c,7c4e91a2-fb14-4179-ba4c-6edec50b0609,ok,0.0,high,full,current_phase8,unknown,projected,derived_from_projected_minutes,bdl_injuries_only,2026-05-25T19:23:55Z,projected,not_available_yet,bdl_lineup_freshness_manifest
Jarrett Allen,9,CLE,NYK,True,21713901,pts,11.5,11.5,espnbet,-165,125,0.5835,stat_grid:pmf_sim_v1+role_aware_pmf_cal_v1:core+monotone_pit_cdf_v1,phase8_role_aware_pmf_cal_v1+monotone_inactive_global_v1,role_aware_pmf_cal_v1,core,derived_from_projected_minutes,28.0557,30.0161,0.05,13.3724,13.3724,13,12,0.0122,0.9878,0.9805,0.9687,0.9465,0.9221,0.8906,0.856,0.8165,0.7607,0.704,0.6452,0.5823,0.5138,0.446,0.3957,0.3398,0.2936,0.2475,0.2127,0.182,0.5823,-139.0,139.0,-0.0012,pre_close,2026-05-25T19:24:35Z,951aa863#phase10c,7c4e91a2-fb14-4179-ba4c-6edec50b0609,ok,0.0,high,full,current_phase8,unknown,projected,derived_from_projected_minutes,bdl_injuries_only,2026-05-25T19:23:55Z,projected,not_available_yet,bdl_lineup_freshness_manifest
