player_name,player_id,team,opponent,is_home,game_id,stat,line,market_line,book,market_over_odds,market_under_odds,market_no_vig_over_prob,pmf_source,calibration_source,cal_source,role_bucket,role_source,minutes_mean,minutes_q50,p_inactive_used,mean,pmf_mean,median,mode,p0,p_ge_1,p_ge_2,p_ge_3,p_ge_4,p_ge_5,p_ge_6,p_ge_7,p_ge_8,p_ge_9,p_ge_10,p_ge_11,p_ge_12,p_ge_13,p_ge_14,p_ge_15,p_ge_16,p_ge_17,p_ge_18,p_ge_19,p_ge_20,p_over,fair_over_odds_american,fair_under_odds_american,edge,snapshot_type,snapshot_time_utc,model_version,pipeline_run_id,pmf_valid,pmf_sum_error,calibration_confidence,market_coverage_status,tov_status,injury_freshness_status,lineup_freshness_status,role_freshness_status,injury_context_source,injury_report_fetched_at_utc,expected_lineup_status,official_lineup_status,lineup_source,lineup_last_updated_utc,line_source
Victor Wembanyama,56677822,SAS,NYK,True,21716138,reb,11.5,11.5,draftkings,-117,-112,0.5051,stat_grid:pmf_sim_v1+role_aware_pmf_cal_v1:starter+monotone_pit_cdf_v1,phase8_role_aware_pmf_cal_v1+monotone_inactive_global_v1,role_aware_pmf_cal_v1,starter,derived_from_projected_minutes,33.0583,36.2251,0.05,9.5652,9.5652,10,10,0.0018,0.9982,0.9977,0.9951,0.9904,0.9816,0.9566,0.9059,0.8239,0.6918,0.5056,0.3115,0.1933,0.1204,0.0511,0.023,0.0117,0.0049,0.0021,0.0002,0.0001,0.1933,417,-417,-0.3118,morning,2026-06-13T22:59:51Z,1751c17d#phase10c,9cd4defe-e740-40a1-b3f4-565702c84681,ok,0.0,high,full,current_phase8,fallback_used,projected,derived_from_projected_minutes,bdl_plus_nba_official,2026-06-13T22:58:48Z,projected,not_available_yet,bdl_lineup_freshness_manifest,2026-06-13T21:52:00Z,market_offered
Victor Wembanyama,56677822,SAS,NYK,True,21716138,reb,13.5,13.5,bovada,190,-260,0.3232,stat_grid:pmf_sim_v1+role_aware_pmf_cal_v1:starter+monotone_pit_cdf_v1,phase8_role_aware_pmf_cal_v1+monotone_inactive_global_v1,role_aware_pmf_cal_v1,starter,derived_from_projected_minutes,33.0583,36.2251,0.05,9.5652,9.5652,10,10,0.0018,0.9982,0.9977,0.9951,0.9904,0.9816,0.9566,0.9059,0.8239,0.6918,0.5056,0.3115,0.1933,0.1204,0.0511,0.023,0.0117,0.0049,0.0021,0.0002,0.0001,0.0511,1858,-1858,-0.2721,morning,2026-06-13T22:59:51Z,1751c17d#phase10c,9cd4defe-e740-40a1-b3f4-565702c84681,ok,0.0,high,full,current_phase8,fallback_used,projected,derived_from_projected_minutes,bdl_plus_nba_official,2026-06-13T22:58:48Z,projected,not_available_yet,bdl_lineup_freshness_manifest,2026-06-13T21:52:00Z,market_offered
Victor Wembanyama,56677822,SAS,NYK,True,21716138,reb,12.5,12.5,bovada,125,-165,0.4165,stat_grid:pmf_sim_v1+role_aware_pmf_cal_v1:starter+monotone_pit_cdf_v1,phase8_role_aware_pmf_cal_v1+monotone_inactive_global_v1,role_aware_pmf_cal_v1,starter,derived_from_projected_minutes,33.0583,36.2251,0.05,9.5652,9.5652,10,10,0.0018,0.9982,0.9977,0.9951,0.9904,0.9816,0.9566,0.9059,0.8239,0.6918,0.5056,0.3115,0.1933,0.1204,0.0511,0.023,0.0117,0.0049,0.0021,0.0002,0.0001,0.1204,731,-731,-0.2961,morning,2026-06-13T22:59:51Z,1751c17d#phase10c,9cd4defe-e740-40a1-b3f4-565702c84681,ok,0.0,high,full,current_phase8,fallback_used,projected,derived_from_projected_minutes,bdl_plus_nba_official,2026-06-13T22:58:48Z,projected,not_available_yet,bdl_lineup_freshness_manifest,2026-06-13T21:52:00Z,market_offered
Victor Wembanyama,56677822,SAS,NYK,True,21716138,reb,11.5,11.5,bovada,-120,-110,0.5101,stat_grid:pmf_sim_v1+role_aware_pmf_cal_v1:starter+monotone_pit_cdf_v1,phase8_role_aware_pmf_cal_v1+monotone_inactive_global_v1,role_aware_pmf_cal_v1,starter,derived_from_projected_minutes,33.0583,36.2251,0.05,9.5652,9.5652,10,10,0.0018,0.9982,0.9977,0.9951,0.9904,0.9816,0.9566,0.9059,0.8239,0.6918,0.5056,0.3115,0.1933,0.1204,0.0511,0.023,0.0117,0.0049,0.0021,0.0002,0.0001,0.1933,417,-417,-0.3168,morning,2026-06-13T22:59:51Z,1751c17d#phase10c,9cd4defe-e740-40a1-b3f4-565702c84681,ok,0.0,high,full,current_phase8,fallback_used,projected,derived_from_projected_minutes,bdl_plus_nba_official,2026-06-13T22:58:48Z,projected,not_available_yet,bdl_lineup_freshness_manifest,2026-06-13T21:52:00Z,market_offered
Victor Wembanyama,56677822,SAS,NYK,True,21716138,reb,10.5,10.5,bovada,-185,140,0.6091,stat_grid:pmf_sim_v1+role_aware_pmf_cal_v1:starter+monotone_pit_cdf_v1,phase8_role_aware_pmf_cal_v1+monotone_inactive_global_v1,role_aware_pmf_cal_v1,starter,derived_from_projected_minutes,33.0583,36.2251,0.05,9.5652,9.5652,10,10,0.0018,0.9982,0.9977,0.9951,0.9904,0.9816,0.9566,0.9059,0.8239,0.6918,0.5056,0.3115,0.1933,0.1204,0.0511,0.023,0.0117,0.0049,0.0021,0.0002,0.0001,0.3115,221,-221,-0.2975,morning,2026-06-13T22:59:51Z,1751c17d#phase10c,9cd4defe-e740-40a1-b3f4-565702c84681,ok,0.0,high,full,current_phase8,fallback_used,projected,derived_from_projected_minutes,bdl_plus_nba_official,2026-06-13T22:58:48Z,projected,not_available_yet,bdl_lineup_freshness_manifest,2026-06-13T21:52:00Z,market_offered
Victor Wembanyama,56677822,SAS,NYK,True,21716138,reb,11.5,11.5,hardrockbet_az,-120,-110,0.5101,stat_grid:pmf_sim_v1+role_aware_pmf_cal_v1:starter+monotone_pit_cdf_v1,phase8_role_aware_pmf_cal_v1+monotone_inactive_global_v1,role_aware_pmf_cal_v1,starter,derived_from_projected_minutes,33.0583,36.2251,0.05,9.5652,9.5652,10,10,0.0018,0.9982,0.9977,0.9951,0.9904,0.9816,0.9566,0.9059,0.8239,0.6918,0.5056,0.3115,0.1933,0.1204,0.0511,0.023,0.0117,0.0049,0.0021,0.0002,0.0001,0.1933,417,-417,-0.3168,morning,2026-06-13T22:59:51Z,1751c17d#phase10c,9cd4defe-e740-40a1-b3f4-565702c84681,ok,0.0,high,full,current_phase8,fallback_used,projected,derived_from_projected_minutes,bdl_plus_nba_official,2026-06-13T22:58:48Z,projected,not_available_yet,bdl_lineup_freshness_manifest,2026-06-13T21:52:00Z,market_offered
Victor Wembanyama,56677822,SAS,NYK,True,21716138,reb,11.5,11.5,hardrockbet,-120,-110,0.5101,stat_grid:pmf_sim_v1+role_aware_pmf_cal_v1:starter+monotone_pit_cdf_v1,phase8_role_aware_pmf_cal_v1+monotone_inactive_global_v1,role_aware_pmf_cal_v1,starter,derived_from_projected_minutes,33.0583,36.2251,0.05,9.5652,9.5652,10,10,0.0018,0.9982,0.9977,0.9951,0.9904,0.9816,0.9566,0.9059,0.8239,0.6918,0.5056,0.3115,0.1933,0.1204,0.0511,0.023,0.0117,0.0049,0.0021,0.0002,0.0001,0.1933,417,-417,-0.3168,morning,2026-06-13T22:59:51Z,1751c17d#phase10c,9cd4defe-e740-40a1-b3f4-565702c84681,ok,0.0,high,full,current_phase8,fallback_used,projected,derived_from_projected_minutes,bdl_plus_nba_official,2026-06-13T22:58:48Z,projected,not_available_yet,bdl_lineup_freshness_manifest,2026-06-13T21:52:00Z,market_offered
Victor Wembanyama,56677822,SAS,NYK,True,21716138,reb,11.5,11.5,hardrockbet_fl,-120,-110,0.5101,stat_grid:pmf_sim_v1+role_aware_pmf_cal_v1:starter+monotone_pit_cdf_v1,phase8_role_aware_pmf_cal_v1+monotone_inactive_global_v1,role_aware_pmf_cal_v1,starter,derived_from_projected_minutes,33.0583,36.2251,0.05,9.5652,9.5652,10,10,0.0018,0.9982,0.9977,0.9951,0.9904,0.9816,0.9566,0.9059,0.8239,0.6918,0.5056,0.3115,0.1933,0.1204,0.0511,0.023,0.0117,0.0049,0.0021,0.0002,0.0001,0.1933,417,-417,-0.3168,morning,2026-06-13T22:59:51Z,1751c17d#phase10c,9cd4defe-e740-40a1-b3f4-565702c84681,ok,0.0,high,full,current_phase8,fallback_used,projected,derived_from_projected_minutes,bdl_plus_nba_official,2026-06-13T22:58:48Z,projected,not_available_yet,bdl_lineup_freshness_manifest,2026-06-13T21:52:00Z,market_offered
Victor Wembanyama,56677822,SAS,NYK,True,21716138,reb,11.5,11.5,rebet,-113,-113,0.5,stat_grid:pmf_sim_v1+role_aware_pmf_cal_v1:starter+monotone_pit_cdf_v1,phase8_role_aware_pmf_cal_v1+monotone_inactive_global_v1,role_aware_pmf_cal_v1,starter,derived_from_projected_minutes,33.0583,36.2251,0.05,9.5652,9.5652,10,10,0.0018,0.9982,0.9977,0.9951,0.9904,0.9816,0.9566,0.9059,0.8239,0.6918,0.5056,0.3115,0.1933,0.1204,0.0511,0.023,0.0117,0.0049,0.0021,0.0002,0.0001,0.1933,417,-417,-0.3067,morning,2026-06-13T22:59:51Z,1751c17d#phase10c,9cd4defe-e740-40a1-b3f4-565702c84681,ok,0.0,high,full,current_phase8,fallback_used,projected,derived_from_projected_minutes,bdl_plus_nba_official,2026-06-13T22:58:48Z,projected,not_available_yet,bdl_lineup_freshness_manifest,2026-06-13T21:52:00Z,market_offered
Victor Wembanyama,56677822,SAS,NYK,True,21716138,reb,11.5,11.5,betparx,-115,-115,0.5,stat_grid:pmf_sim_v1+role_aware_pmf_cal_v1:starter+monotone_pit_cdf_v1,phase8_role_aware_pmf_cal_v1+monotone_inactive_global_v1,role_aware_pmf_cal_v1,starter,derived_from_projected_minutes,33.0583,36.2251,0.05,9.5652,9.5652,10,10,0.0018,0.9982,0.9977,0.9951,0.9904,0.9816,0.9566,0.9059,0.8239,0.6918,0.5056,0.3115,0.1933,0.1204,0.0511,0.023,0.0117,0.0049,0.0021,0.0002,0.0001,0.1933,417,-417,-0.3067,morning,2026-06-13T22:59:51Z,1751c17d#phase10c,9cd4defe-e740-40a1-b3f4-565702c84681,ok,0.0,high,full,current_phase8,fallback_used,projected,derived_from_projected_minutes,bdl_plus_nba_official,2026-06-13T22:58:48Z,projected,not_available_yet,bdl_lineup_freshness_manifest,2026-06-13T21:52:00Z,market_offered
Victor Wembanyama,56677822,SAS,NYK,True,21716138,reb,11.5,11.5,fliff,-125,-115,0.5095,stat_grid:pmf_sim_v1+role_aware_pmf_cal_v1:starter+monotone_pit_cdf_v1,phase8_role_aware_pmf_cal_v1+monotone_inactive_global_v1,role_aware_pmf_cal_v1,starter,derived_from_projected_minutes,33.0583,36.2251,0.05,9.5652,9.5652,10,10,0.0018,0.9982,0.9977,0.9951,0.9904,0.9816,0.9566,0.9059,0.8239,0.6918,0.5056,0.3115,0.1933,0.1204,0.0511,0.023,0.0117,0.0049,0.0021,0.0002,0.0001,0.1933,417,-417,-0.3162,morning,2026-06-13T22:59:51Z,1751c17d#phase10c,9cd4defe-e740-40a1-b3f4-565702c84681,ok,0.0,high,full,current_phase8,fallback_used,projected,derived_from_projected_minutes,bdl_plus_nba_official,2026-06-13T22:58:48Z,projected,not_available_yet,bdl_lineup_freshness_manifest,2026-06-13T21:52:00Z,market_offered
Victor Wembanyama,56677822,SAS,NYK,True,21716138,reb,10.5,10.5,espnbet,-170,130,0.5915,stat_grid:pmf_sim_v1+role_aware_pmf_cal_v1:starter+monotone_pit_cdf_v1,phase8_role_aware_pmf_cal_v1+monotone_inactive_global_v1,role_aware_pmf_cal_v1,starter,derived_from_projected_minutes,33.0583,36.2251,0.05,9.5652,9.5652,10,10,0.0018,0.9982,0.9977,0.9951,0.9904,0.9816,0.9566,0.9059,0.8239,0.6918,0.5056,0.3115,0.1933,0.1204,0.0511,0.023,0.0117,0.0049,0.0021,0.0002,0.0001,0.3115,221,-221,-0.28,morning,2026-06-13T22:59:51Z,1751c17d#phase10c,9cd4defe-e740-40a1-b3f4-565702c84681,ok,0.0,high,full,current_phase8,fallback_used,projected,derived_from_projected_minutes,bdl_plus_nba_official,2026-06-13T22:58:48Z,projected,not_available_yet,bdl_lineup_freshness_manifest,2026-06-13T21:52:00Z,market_offered
Victor Wembanyama,56677822,SAS,NYK,True,21716138,reb,11.5,11.5,espnbet,-105,-125,0.4797,stat_grid:pmf_sim_v1+role_aware_pmf_cal_v1:starter+monotone_pit_cdf_v1,phase8_role_aware_pmf_cal_v1+monotone_inactive_global_v1,role_aware_pmf_cal_v1,starter,derived_from_projected_minutes,33.0583,36.2251,0.05,9.5652,9.5652,10,10,0.0018,0.9982,0.9977,0.9951,0.9904,0.9816,0.9566,0.9059,0.8239,0.6918,0.5056,0.3115,0.1933,0.1204,0.0511,0.023,0.0117,0.0049,0.0021,0.0002,0.0001,0.1933,417,-417,-0.2864,morning,2026-06-13T22:59:51Z,1751c17d#phase10c,9cd4defe-e740-40a1-b3f4-565702c84681,ok,0.0,high,full,current_phase8,fallback_used,projected,derived_from_projected_minutes,bdl_plus_nba_official,2026-06-13T22:58:48Z,projected,not_available_yet,bdl_lineup_freshness_manifest,2026-06-13T21:52:00Z,market_offered
Victor Wembanyama,56677822,SAS,NYK,True,21716138,reb,12.5,12.5,espnbet,135,-180,0.3983,stat_grid:pmf_sim_v1+role_aware_pmf_cal_v1:starter+monotone_pit_cdf_v1,phase8_role_aware_pmf_cal_v1+monotone_inactive_global_v1,role_aware_pmf_cal_v1,starter,derived_from_projected_minutes,33.0583,36.2251,0.05,9.5652,9.5652,10,10,0.0018,0.9982,0.9977,0.9951,0.9904,0.9816,0.9566,0.9059,0.8239,0.6918,0.5056,0.3115,0.1933,0.1204,0.0511,0.023,0.0117,0.0049,0.0021,0.0002,0.0001,0.1204,731,-731,-0.2779,morning,2026-06-13T22:59:51Z,1751c17d#phase10c,9cd4defe-e740-40a1-b3f4-565702c84681,ok,0.0,high,full,current_phase8,fallback_used,projected,derived_from_projected_minutes,bdl_plus_nba_official,2026-06-13T22:58:48Z,projected,not_available_yet,bdl_lineup_freshness_manifest,2026-06-13T21:52:00Z,market_offered
Victor Wembanyama,56677822,SAS,NYK,True,21716138,ast,3.5,3.5,williamhill_us,110,-145,0.4459,stat_grid:pmf_sim_v1+role_aware_pmf_cal_v1:starter+monotone_pit_cdf_v1,phase8_role_aware_pmf_cal_v1+monotone_inactive_global_v1,role_aware_pmf_cal_v1,starter,derived_from_projected_minutes,33.0583,36.2251,0.05,2.8777,2.8777,3,3,0.0121,0.9879,0.9004,0.6118,0.3077,0.0613,0.0074,0.0013,0.0001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3077,225,-225,-0.1382,morning,2026-06-13T22:59:51Z,1751c17d#phase10c,9cd4defe-e740-40a1-b3f4-565702c84681,ok,0.0,high,full,current_phase8,fallback_used,projected,derived_from_projected_minutes,bdl_plus_nba_official,2026-06-13T22:58:48Z,projected,not_available_yet,bdl_lineup_freshness_manifest,2026-06-13T21:52:00Z,market_offered
Victor Wembanyama,56677822,SAS,NYK,True,21716138,ast,3.5,3.5,bovada,110,-145,0.4459,stat_grid:pmf_sim_v1+role_aware_pmf_cal_v1:starter+monotone_pit_cdf_v1,phase8_role_aware_pmf_cal_v1+monotone_inactive_global_v1,role_aware_pmf_cal_v1,starter,derived_from_projected_minutes,33.0583,36.2251,0.05,2.8777,2.8777,3,3,0.0121,0.9879,0.9004,0.6118,0.3077,0.0613,0.0074,0.0013,0.0001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3077,225,-225,-0.1382,morning,2026-06-13T22:59:51Z,1751c17d#phase10c,9cd4defe-e740-40a1-b3f4-565702c84681,ok,0.0,high,full,current_phase8,fallback_used,projected,derived_from_projected_minutes,bdl_plus_nba_official,2026-06-13T22:58:48Z,projected,not_available_yet,bdl_lineup_freshness_manifest,2026-06-13T21:52:00Z,market_offered
Victor Wembanyama,56677822,SAS,NYK,True,21716138,ast,2.5,2.5,bovada,-220,165,0.6456,stat_grid:pmf_sim_v1+role_aware_pmf_cal_v1:starter+monotone_pit_cdf_v1,phase8_role_aware_pmf_cal_v1+monotone_inactive_global_v1,role_aware_pmf_cal_v1,starter,derived_from_projected_minutes,33.0583,36.2251,0.05,2.8777,2.8777,3,3,0.0121,0.9879,0.9004,0.6118,0.3077,0.0613,0.0074,0.0013,0.0001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6118,-158,158,-0.0338,morning,2026-06-13T22:59:51Z,1751c17d#phase10c,9cd4defe-e740-40a1-b3f4-565702c84681,ok,0.0,high,full,current_phase8,fallback_used,projected,derived_from_projected_minutes,bdl_plus_nba_official,2026-06-13T22:58:48Z,projected,not_available_yet,bdl_lineup_freshness_manifest,2026-06-13T21:52:00Z,market_offered
