date,game_id,event_id,snapshot_type,snapshot_time_utc,home_team,away_team,bookmaker_key,player_id,player_name,stat,line,side,role_bucket,pmf_kind,pmf_col_used,is_alternate,model_pmf_raw,model_pmf,model_mean,model_variance,pmf_mean_raw,pmf_mean_repaired,pmf_mean_shift_delta_or_gamma,pmf_mean_shift_repair_applied,pmf_mean_shift_repair_scope,pmf_mean_shift_repair_method,pmf_mean_shift_repair_version,pmf_mean_shift_row_rollback_reason,model_prob_over_raw,model_prob_over_after_pmf_mean_shift,model_prob_over_calibrated,model_prob_over_active,probability_scale_repair_scope,probability_scale_repair_method,probability_scale_repair_version,model_prob_over,model_prob_under,model_probability_for_side,market_prob_over_no_vig,market_prob_under_no_vig,market_probability_for_side,over_odds_american,under_odds_american,actual,hit_result,closing_line_result,settled,model_event_logloss,market_event_logloss,event_logloss_delta,model_brier,market_brier,brier_delta,model_nll,model_rps,walk_forward_only,same_sample_predictions_used,join_status,join_blockers,scoring_blocker,model_prob_over_pre_event_calibration,event_calibration_applied,event_calibration_version,event_calibration_stage,event_calibration_source,event_calibration_segment,market_pmf_used,market_prob_used_as_training_label,m8_6q_schema_version,m8_6q_delta_sign_convention,injury_status_current,official_lineup_status,expected_lineup_status,projected_minutes,minutes_q10,minutes_q50,minutes_q90,p_inactive,p_starter,usage_projection,opponent_def_rating_recent,expected_steal_opportunities,cov_pts_reb_player,cov_pts_ast_player,cov_reb_ast_player,combo_covariance_sample_size,odds_snapshot_family,odds_snapshot_path,odds_snapshot_type,odds_snapshot_substr_used,odds_snapshot_rank,odds_snapshot_is_historical,odds_snapshot_lock_offset_minutes
2026-05-04,21708671.0,b11391b35b7a0cf79deeef3bb3eb9009,historical_lock_minus_5m,2026-05-05T00:05:00Z,New York Knicks,Philadelphia 76ers,betparx,447.0,Karl-Anthony Towns,stocks,1.5,OVER,core,oof_single,pmf,False,"{""0"": 1.0}","{""0"": 1.0}",0.0,0.0,0.0,0.0,,False,,,,,0.0,0.0,,0.0,,,,0.0,1.0,0.0,0.6333530455351862,0.3666469544648137,0.6333530455351862,-210.0,155.0,2.0,1.0,,True,27.631021115928547,0.4567272784508316,27.174293837477716,1.0,0.13442998921832322,0.8655700107816768,,1.0,True,False,matched,,,0.0,False,,,,,False,False,v2,model_minus_market_negative_better,,,,,13.695309851751489,30.76274736745681,36.7073895623555,0.050000000000000044,,,,,,,,,hist_lockday,data/odds_api/processed/2026-05-04/odds_pairs_hist_lockday_2026-05-04.parquet,hist_lockday,auto,1,True,5.0
2026-04-29,21684805.0,912bee9cc9d36b6017819f012c0c56f1,historical_lock_minus_5m,2026-04-29T23:05:00Z,Detroit Pistons,Orlando Magic,draftkings,200.0,Tobias Harris,stocks,1.5,OVER,core,oof_single,pmf,False,"{""0"": 1.0}","{""0"": 1.0}",0.0,0.0,0.0,0.0,,False,,,,,0.0,0.0,,0.0,,,,0.0,1.0,0.0,0.6196155032384086,0.3803844967615915,0.6196155032384086,-196.0,146.0,2.0,1.0,,True,27.631021115928547,0.4786561493863961,27.15236496654215,1.0,0.1446923653765691,0.855307634623431,,1.0,True,False,matched,,,0.0,False,,,,,False,False,v2,model_minus_market_negative_better,,,,,14.028713135388973,31.093894315631346,37.372040610841964,0.050000000000000044,,,,,,,,,hist_lockday,data/odds_api/processed/2026-04-29/odds_pairs_hist_lockday_2026-04-29.parquet,hist_lockday,auto,1,True,5.0
2026-04-30,21681994.0,b981ac0f551b6f109cd18fa31de439b4,historical_lock_minus_5m,2026-05-01T01:35:00Z,Minnesota Timberwolves,Denver Nuggets,hardrockbet_az,3547259.0,Jaden McDaniels,stocks,1.5,OVER,core,oof_single,pmf,False,"{""0"": 1.0}","{""0"": 1.0}",0.0,0.0,0.0,0.0,,False,,,,,0.0,0.0,,0.0,,,,0.0,1.0,0.0,0.6153846153846154,0.38461538461538464,0.6153846153846154,-200.0,140.0,3.0,1.0,,True,27.631021115928547,0.48550781578170077,27.145513300146845,1.0,0.14792899408284022,0.8520710059171598,,1.0,True,False,matched,,,0.0,False,,,,,False,False,v2,model_minus_market_negative_better,,,,,14.555952699090678,31.867008874782705,37.881618762875135,0.050000000000000044,,,,,,,,,hist_lockday,data/odds_api/processed/2026-04-30/odds_pairs_hist_lockday_2026-04-30.parquet,hist_lockday,auto,1,True,5.0
2026-04-30,21681994.0,b981ac0f551b6f109cd18fa31de439b4,historical_lock_minus_5m,2026-05-01T01:35:00Z,Minnesota Timberwolves,Denver Nuggets,hardrockbet,3547259.0,Jaden McDaniels,stocks,1.5,OVER,core,oof_single,pmf,False,"{""0"": 1.0}","{""0"": 1.0}",0.0,0.0,0.0,0.0,,False,,,,,0.0,0.0,,0.0,,,,0.0,1.0,0.0,0.6153846153846154,0.38461538461538464,0.6153846153846154,-200.0,140.0,3.0,1.0,,True,27.631021115928547,0.48550781578170077,27.145513300146845,1.0,0.14792899408284022,0.8520710059171598,,1.0,True,False,matched,,,0.0,False,,,,,False,False,v2,model_minus_market_negative_better,,,,,14.555952699090678,31.867008874782705,37.881618762875135,0.050000000000000044,,,,,,,,,hist_lockday,data/odds_api/processed/2026-04-30/odds_pairs_hist_lockday_2026-04-30.parquet,hist_lockday,auto,1,True,5.0
2026-05-03,21682000.0,a463f640631f8b0580966b909965de14,historical_lock_minus_5m,2026-05-03T23:35:00Z,Cleveland Cavaliers,Toronto Raptors,fliff,9.0,Jarrett Allen,stocks,1.5,OVER,core,oof_single,pmf,False,"{""0"": 1.0}","{""0"": 1.0}",0.0,0.0,0.0,0.0,,False,,,,,0.0,0.0,,0.0,,,,0.0,1.0,0.0,0.6103896103896104,0.38961038961038963,0.6103896103896104,-200.0,135.0,5.0,1.0,,True,27.631021115928547,0.4936578201436253,27.137363295784922,1.0,0.1517962556923596,0.8482037443076405,,1.0,True,False,matched,,,0.0,False,,,,,False,False,v2,model_minus_market_negative_better,,,,,12.48556386106694,27.177156564671158,33.420101013422794,0.050000000000000044,,,,,,,,,hist_lockday,data/odds_api/processed/2026-05-03/odds_pairs_hist_lockday_2026-05-03.parquet,hist_lockday,auto,1,True,5.0
2026-04-29,21684805.0,912bee9cc9d36b6017819f012c0c56f1,historical_lock_minus_5m,2026-04-29T23:05:00Z,Detroit Pistons,Orlando Magic,fliff,200.0,Tobias Harris,stocks,1.5,OVER,core,oof_single,pmf,False,"{""0"": 1.0}","{""0"": 1.0}",0.0,0.0,0.0,0.0,,False,,,,,0.0,0.0,,0.0,,,,0.0,1.0,0.0,0.6103896103896104,0.38961038961038963,0.6103896103896104,-200.0,135.0,2.0,1.0,,True,27.631021115928547,0.4936578201436253,27.137363295784922,1.0,0.1517962556923596,0.8482037443076405,,1.0,True,False,matched,,,0.0,False,,,,,False,False,v2,model_minus_market_negative_better,,,,,14.028713135388973,31.093894315631346,37.372040610841964,0.050000000000000044,,,,,,,,,hist_lockday,data/odds_api/processed/2026-04-29/odds_pairs_hist_lockday_2026-04-29.parquet,hist_lockday,auto,1,True,5.0
2026-05-08,21707974.0,1b5c084f510006e8f30cd6cac40e231d,historical_lock_minus_5m,2026-05-09T01:35:00Z,Minnesota Timberwolves,San Antonio Spurs,draftkings,176.0,Rudy Gobert,stocks,1.5,OVER,core,oof_single,pmf,False,"{""0"": 1.0}","{""0"": 1.0}",0.0,0.0,0.0,0.0,,False,,,,,0.0,0.0,,0.0,,,,0.0,1.0,0.0,0.6099483555313944,0.3900516444686056,0.6099483555313944,-187.0,140.0,3.0,1.0,,True,27.631021115928547,0.4943809884621875,27.13664012746636,1.0,0.15214028535266352,0.8478597146473364,,1.0,True,False,matched,,,0.0,False,,,,,False,False,v2,model_minus_market_negative_better,,,,,14.747827387406371,32.5176919767554,37.505388805930735,0.050000000000000044,,,,,,,,,hist_lockday,data/odds_api/processed/2026-05-08/odds_pairs_hist_lockday_2026-05-08.parquet,hist_lockday,auto,1,True,5.0
2026-04-27,21684800.0,846b0e9b691b5a291619fa22f96c7dfa,historical_lock_minus_5m,2026-04-28T00:05:00Z,Orlando Magic,Detroit Pistons,draftkings,38017694.0,Jalen Duren,stocks,1.5,OVER,core,oof_single,pmf,False,"{""0"": 1.0}","{""0"": 1.0}",0.0,0.0,0.0,0.0,,False,,,,,0.0,0.0,,0.0,,,,0.0,1.0,0.0,0.6085087743313164,0.3914912256686834,0.6085087743313164,-186.0,139.0,2.0,1.0,,True,27.631021115928547,0.4967439470507658,27.13427716887778,1.0,0.15326537977556812,0.8467346202244319,,1.0,True,False,matched,,,0.0,False,,,,,False,False,v2,model_minus_market_negative_better,,,,,15.628531173495151,29.175391994960655,34.819891098501486,0.050000000000000044,,,,,,,,,hist_lockday,data/odds_api/processed/2026-04-27/odds_pairs_hist_lockday_2026-04-27.parquet,hist_lockday,auto,1,True,5.0
2026-04-30,21681992.0,24992ea72a9115eaa601ff602cc60468,historical_lock_minus_5m,2026-04-30T23:05:00Z,Atlanta Hawks,New York Knicks,betparx,447.0,Karl-Anthony Towns,stocks,1.5,OVER,core,oof_single,pmf,False,"{""0"": 1.0}","{""0"": 1.0}",0.0,0.0,0.0,0.0,,False,,,,,0.0,0.0,,0.0,,,,0.0,1.0,0.0,0.6075094691771422,0.3924905308228578,0.6075094691771422,-186.0,138.0,4.0,1.0,,True,27.631021115928547,0.49838751676604365,27.132633599162503,1.0,0.15404881678560867,0.8459511832143913,,1.0,True,False,matched,,,0.0,False,,,,,False,False,v2,model_minus_market_negative_better,,,,,14.15642092143813,32.386963722307314,37.096933646673136,0.050000000000000044,,,,,,,,,hist_lockday,data/odds_api/processed/2026-04-30/odds_pairs_hist_lockday_2026-04-30.parquet,hist_lockday,auto,1,True,5.0
2026-05-03,21682000.0,a463f640631f8b0580966b909965de14,historical_lock_minus_5m,2026-05-03T23:35:00Z,Cleveland Cavaliers,Toronto Raptors,hardrockbet_az,9.0,Jarrett Allen,stocks,1.5,OVER,core,oof_single,pmf,False,"{""0"": 1.0}","{""0"": 1.0}",0.0,0.0,0.0,0.0,,False,,,,,0.0,0.0,,0.0,,,,0.0,1.0,0.0,0.606245756958588,0.3937542430414121,0.606245756958588,-190.0,135.0,5.0,1.0,,True,27.631021115928547,0.5004698355861311,27.130551280342416,1.0,0.15504240391311538,0.8449575960868846,,1.0,True,False,matched,,,0.0,False,,,,,False,False,v2,model_minus_market_negative_better,,,,,12.48556386106694,27.177156564671158,33.420101013422794,0.050000000000000044,,,,,,,,,hist_lockday,data/odds_api/processed/2026-05-03/odds_pairs_hist_lockday_2026-05-03.parquet,hist_lockday,auto,1,True,5.0
