player_id,player_name,game_id,minutes_projection_conflict
192,James Harden,21682000,0
322,Donovan Mitchell,21682000,0
3547299,Sam Merrill,21682000,0
227,Brandon Ingram,21682000,0
1028029111,Ja'Kobe Walter,21682000,0
9,Jarrett Allen,21682000,0
17896076,Evan Mobley,21682000,0
666423,RJ Barrett,21682000,0
1057268940,Collin Murray-Boyles,21682000,0
373,Jakob Poeltl,21682000,0
17896055,Scottie Barnes,21682000,0
409,Dennis Schroder,21682000,0
1028038426,Jamal Shead,21682000,0
17896059,Sandro Mamukelashvili,21682000,0
