player_name,player_id,team,opponent,is_home,game_id,stat,line,market_line,pmf_source,calibration_source,cal_source,role_bucket,role_source,minutes_mean,minutes_q50,p_inactive_used,mean,pmf_mean,median,mode,p0,p_ge_1,p_ge_2,p_ge_3,p_ge_4,p_ge_5,p_ge_6,p_ge_7,p_ge_8,p_ge_9,p_ge_10,p_ge_11,p_ge_12,p_ge_13,p_ge_14,p_ge_15,p_ge_16,p_ge_17,p_ge_18,p_ge_19,p_ge_20,p_over,fair_over_odds_american,fair_under_odds_american,snapshot_type,snapshot_time_utc,model_version,pipeline_run_id,pmf_valid,pmf_sum_error,calibration_confidence,market_coverage_status,tov_status,injury_freshness_status,lineup_freshness_status,role_freshness_status,injury_context_source,injury_report_fetched_at_utc,expected_lineup_status,official_lineup_status,lineup_source,lineup_last_updated_utc
Stephon Castle,1028025261,SAS,OKC,False,21713529,pts,12.5,12.5,stat_grid:pmf_sim_v1+role_aware_pmf_cal_v1:starter+monotone_pit_cdf_v1,phase8_role_aware_pmf_cal_v1+monotone_inactive_global_v1,role_aware_pmf_cal_v1,starter,derived_from_projected_minutes,29.693654,32.420799,0.05,20.124888,20.124888,20,20,0.00068427069,0.99931572931,0.9988169209,0.998353842716,0.997147070947,0.995533352538,0.992636122566,0.987366772298,0.981943589603,0.970795542348,0.955078237786,0.935730431061,0.914403327533,0.887577458295,0.851595318989,0.815568633011,0.766927930964,0.712387806728,0.658392451329,0.605503582776,0.547721725596,0.887577,-790.0,790.0,pre_close,2026-05-21T00:19:36Z,3b470f5d#phase10c,3a9fbeb7-bbf2-4770-8caa-483bdc3e5466,ok,0.0,high,full,current_phase8,latest_valid_report_selected,projected,derived_from_projected_minutes,bdl_plus_nba_official,2026-05-21T00:19:02Z,projected,not_available_yet,bdl_lineup_freshness_manifest,2026-05-21T00:18:47Z
Stephon Castle,1028025261,SAS,OKC,False,21713529,pts,13.5,13.5,stat_grid:pmf_sim_v1+role_aware_pmf_cal_v1:starter+monotone_pit_cdf_v1,phase8_role_aware_pmf_cal_v1+monotone_inactive_global_v1,role_aware_pmf_cal_v1,starter,derived_from_projected_minutes,29.693654,32.420799,0.05,20.124888,20.124888,20,20,0.00068427069,0.99931572931,0.9988169209,0.998353842716,0.997147070947,0.995533352538,0.992636122566,0.987366772298,0.981943589603,0.970795542348,0.955078237786,0.935730431061,0.914403327533,0.887577458295,0.851595318989,0.815568633011,0.766927930964,0.712387806728,0.658392451329,0.605503582776,0.547721725596,0.851595,-574.0,574.0,pre_close,2026-05-21T00:19:36Z,3b470f5d#phase10c,3a9fbeb7-bbf2-4770-8caa-483bdc3e5466,ok,0.0,high,full,current_phase8,latest_valid_report_selected,projected,derived_from_projected_minutes,bdl_plus_nba_official,2026-05-21T00:19:02Z,projected,not_available_yet,bdl_lineup_freshness_manifest,2026-05-21T00:18:47Z
Stephon Castle,1028025261,SAS,OKC,False,21713529,pts,14.5,14.5,stat_grid:pmf_sim_v1+role_aware_pmf_cal_v1:starter+monotone_pit_cdf_v1,phase8_role_aware_pmf_cal_v1+monotone_inactive_global_v1,role_aware_pmf_cal_v1,starter,derived_from_projected_minutes,29.693654,32.420799,0.05,20.124888,20.124888,20,20,0.00068427069,0.99931572931,0.9988169209,0.998353842716,0.997147070947,0.995533352538,0.992636122566,0.987366772298,0.981943589603,0.970795542348,0.955078237786,0.935730431061,0.914403327533,0.887577458295,0.851595318989,0.815568633011,0.766927930964,0.712387806728,0.658392451329,0.605503582776,0.547721725596,0.815569,-442.0,442.0,pre_close,2026-05-21T00:19:36Z,3b470f5d#phase10c,3a9fbeb7-bbf2-4770-8caa-483bdc3e5466,ok,0.0,high,full,current_phase8,latest_valid_report_selected,projected,derived_from_projected_minutes,bdl_plus_nba_official,2026-05-21T00:19:02Z,projected,not_available_yet,bdl_lineup_freshness_manifest,2026-05-21T00:18:47Z
Stephon Castle,1028025261,SAS,OKC,False,21713529,pts,15.5,15.5,stat_grid:pmf_sim_v1+role_aware_pmf_cal_v1:starter+monotone_pit_cdf_v1,phase8_role_aware_pmf_cal_v1+monotone_inactive_global_v1,role_aware_pmf_cal_v1,starter,derived_from_projected_minutes,29.693654,32.420799,0.05,20.124888,20.124888,20,20,0.00068427069,0.99931572931,0.9988169209,0.998353842716,0.997147070947,0.995533352538,0.992636122566,0.987366772298,0.981943589603,0.970795542348,0.955078237786,0.935730431061,0.914403327533,0.887577458295,0.851595318989,0.815568633011,0.766927930964,0.712387806728,0.658392451329,0.605503582776,0.547721725596,0.766928,-329.0,329.0,pre_close,2026-05-21T00:19:36Z,3b470f5d#phase10c,3a9fbeb7-bbf2-4770-8caa-483bdc3e5466,ok,0.0,high,full,current_phase8,latest_valid_report_selected,projected,derived_from_projected_minutes,bdl_plus_nba_official,2026-05-21T00:19:02Z,projected,not_available_yet,bdl_lineup_freshness_manifest,2026-05-21T00:18:47Z
Stephon Castle,1028025261,SAS,OKC,False,21713529,pts,16.5,16.5,stat_grid:pmf_sim_v1+role_aware_pmf_cal_v1:starter+monotone_pit_cdf_v1,phase8_role_aware_pmf_cal_v1+monotone_inactive_global_v1,role_aware_pmf_cal_v1,starter,derived_from_projected_minutes,29.693654,32.420799,0.05,20.124888,20.124888,20,20,0.00068427069,0.99931572931,0.9988169209,0.998353842716,0.997147070947,0.995533352538,0.992636122566,0.987366772298,0.981943589603,0.970795542348,0.955078237786,0.935730431061,0.914403327533,0.887577458295,0.851595318989,0.815568633011,0.766927930964,0.712387806728,0.658392451329,0.605503582776,0.547721725596,0.712388,-248.0,248.0,pre_close,2026-05-21T00:19:36Z,3b470f5d#phase10c,3a9fbeb7-bbf2-4770-8caa-483bdc3e5466,ok,0.0,high,full,current_phase8,latest_valid_report_selected,projected,derived_from_projected_minutes,bdl_plus_nba_official,2026-05-21T00:19:02Z,projected,not_available_yet,bdl_lineup_freshness_manifest,2026-05-21T00:18:47Z
Stephon Castle,1028025261,SAS,OKC,False,21713529,pts,17.5,17.5,stat_grid:pmf_sim_v1+role_aware_pmf_cal_v1:starter+monotone_pit_cdf_v1,phase8_role_aware_pmf_cal_v1+monotone_inactive_global_v1,role_aware_pmf_cal_v1,starter,derived_from_projected_minutes,29.693654,32.420799,0.05,20.124888,20.124888,20,20,0.00068427069,0.99931572931,0.9988169209,0.998353842716,0.997147070947,0.995533352538,0.992636122566,0.987366772298,0.981943589603,0.970795542348,0.955078237786,0.935730431061,0.914403327533,0.887577458295,0.851595318989,0.815568633011,0.766927930964,0.712387806728,0.658392451329,0.605503582776,0.547721725596,0.658392,-193.0,193.0,pre_close,2026-05-21T00:19:36Z,3b470f5d#phase10c,3a9fbeb7-bbf2-4770-8caa-483bdc3e5466,ok,0.0,high,full,current_phase8,latest_valid_report_selected,projected,derived_from_projected_minutes,bdl_plus_nba_official,2026-05-21T00:19:02Z,projected,not_available_yet,bdl_lineup_freshness_manifest,2026-05-21T00:18:47Z
Stephon Castle,1028025261,SAS,OKC,False,21713529,pts,18.5,18.5,stat_grid:pmf_sim_v1+role_aware_pmf_cal_v1:starter+monotone_pit_cdf_v1,phase8_role_aware_pmf_cal_v1+monotone_inactive_global_v1,role_aware_pmf_cal_v1,starter,derived_from_projected_minutes,29.693654,32.420799,0.05,20.124888,20.124888,20,20,0.00068427069,0.99931572931,0.9988169209,0.998353842716,0.997147070947,0.995533352538,0.992636122566,0.987366772298,0.981943589603,0.970795542348,0.955078237786,0.935730431061,0.914403327533,0.887577458295,0.851595318989,0.815568633011,0.766927930964,0.712387806728,0.658392451329,0.605503582776,0.547721725596,0.605504,-153.0,153.0,pre_close,2026-05-21T00:19:36Z,3b470f5d#phase10c,3a9fbeb7-bbf2-4770-8caa-483bdc3e5466,ok,0.0,high,full,current_phase8,latest_valid_report_selected,projected,derived_from_projected_minutes,bdl_plus_nba_official,2026-05-21T00:19:02Z,projected,not_available_yet,bdl_lineup_freshness_manifest,2026-05-21T00:18:47Z
Stephon Castle,1028025261,SAS,OKC,False,21713529,pts,19.5,19.5,stat_grid:pmf_sim_v1+role_aware_pmf_cal_v1:starter+monotone_pit_cdf_v1,phase8_role_aware_pmf_cal_v1+monotone_inactive_global_v1,role_aware_pmf_cal_v1,starter,derived_from_projected_minutes,29.693654,32.420799,0.05,20.124888,20.124888,20,20,0.00068427069,0.99931572931,0.9988169209,0.998353842716,0.997147070947,0.995533352538,0.992636122566,0.987366772298,0.981943589603,0.970795542348,0.955078237786,0.935730431061,0.914403327533,0.887577458295,0.851595318989,0.815568633011,0.766927930964,0.712387806728,0.658392451329,0.605503582776,0.547721725596,0.547722,-121.0,121.0,pre_close,2026-05-21T00:19:36Z,3b470f5d#phase10c,3a9fbeb7-bbf2-4770-8caa-483bdc3e5466,ok,0.0,high,full,current_phase8,latest_valid_report_selected,projected,derived_from_projected_minutes,bdl_plus_nba_official,2026-05-21T00:19:02Z,projected,not_available_yet,bdl_lineup_freshness_manifest,2026-05-21T00:18:47Z
Stephon Castle,1028025261,SAS,OKC,False,21713529,pts,20.5,20.5,stat_grid:pmf_sim_v1+role_aware_pmf_cal_v1:starter+monotone_pit_cdf_v1,phase8_role_aware_pmf_cal_v1+monotone_inactive_global_v1,role_aware_pmf_cal_v1,starter,derived_from_projected_minutes,29.693654,32.420799,0.05,20.124888,20.124888,20,20,0.00068427069,0.99931572931,0.9988169209,0.998353842716,0.997147070947,0.995533352538,0.992636122566,0.987366772298,0.981943589603,0.970795542348,0.955078237786,0.935730431061,0.914403327533,0.887577458295,0.851595318989,0.815568633011,0.766927930964,0.712387806728,0.658392451329,0.605503582776,0.547721725596,0.471164,112.0,-112.0,pre_close,2026-05-21T00:19:36Z,3b470f5d#phase10c,3a9fbeb7-bbf2-4770-8caa-483bdc3e5466,ok,0.0,high,full,current_phase8,latest_valid_report_selected,projected,derived_from_projected_minutes,bdl_plus_nba_official,2026-05-21T00:19:02Z,projected,not_available_yet,bdl_lineup_freshness_manifest,2026-05-21T00:18:47Z
Stephon Castle,1028025261,SAS,OKC,False,21713529,pts,21.5,21.5,stat_grid:pmf_sim_v1+role_aware_pmf_cal_v1:starter+monotone_pit_cdf_v1,phase8_role_aware_pmf_cal_v1+monotone_inactive_global_v1,role_aware_pmf_cal_v1,starter,derived_from_projected_minutes,29.693654,32.420799,0.05,20.124888,20.124888,20,20,0.00068427069,0.99931572931,0.9988169209,0.998353842716,0.997147070947,0.995533352538,0.992636122566,0.987366772298,0.981943589603,0.970795542348,0.955078237786,0.935730431061,0.914403327533,0.887577458295,0.851595318989,0.815568633011,0.766927930964,0.712387806728,0.658392451329,0.605503582776,0.547721725596,0.396351,152.0,-152.0,pre_close,2026-05-21T00:19:36Z,3b470f5d#phase10c,3a9fbeb7-bbf2-4770-8caa-483bdc3e5466,ok,0.0,high,full,current_phase8,latest_valid_report_selected,projected,derived_from_projected_minutes,bdl_plus_nba_official,2026-05-21T00:19:02Z,projected,not_available_yet,bdl_lineup_freshness_manifest,2026-05-21T00:18:47Z
Stephon Castle,1028025261,SAS,OKC,False,21713529,pts,22.5,22.5,stat_grid:pmf_sim_v1+role_aware_pmf_cal_v1:starter+monotone_pit_cdf_v1,phase8_role_aware_pmf_cal_v1+monotone_inactive_global_v1,role_aware_pmf_cal_v1,starter,derived_from_projected_minutes,29.693654,32.420799,0.05,20.124888,20.124888,20,20,0.00068427069,0.99931572931,0.9988169209,0.998353842716,0.997147070947,0.995533352538,0.992636122566,0.987366772298,0.981943589603,0.970795542348,0.955078237786,0.935730431061,0.914403327533,0.887577458295,0.851595318989,0.815568633011,0.766927930964,0.712387806728,0.658392451329,0.605503582776,0.547721725596,0.329721,203.0,-203.0,pre_close,2026-05-21T00:19:36Z,3b470f5d#phase10c,3a9fbeb7-bbf2-4770-8caa-483bdc3e5466,ok,0.0,high,full,current_phase8,latest_valid_report_selected,projected,derived_from_projected_minutes,bdl_plus_nba_official,2026-05-21T00:19:02Z,projected,not_available_yet,bdl_lineup_freshness_manifest,2026-05-21T00:18:47Z
Stephon Castle,1028025261,SAS,OKC,False,21713529,pts,23.5,23.5,stat_grid:pmf_sim_v1+role_aware_pmf_cal_v1:starter+monotone_pit_cdf_v1,phase8_role_aware_pmf_cal_v1+monotone_inactive_global_v1,role_aware_pmf_cal_v1,starter,derived_from_projected_minutes,29.693654,32.420799,0.05,20.124888,20.124888,20,20,0.00068427069,0.99931572931,0.9988169209,0.998353842716,0.997147070947,0.995533352538,0.992636122566,0.987366772298,0.981943589603,0.970795542348,0.955078237786,0.935730431061,0.914403327533,0.887577458295,0.851595318989,0.815568633011,0.766927930964,0.712387806728,0.658392451329,0.605503582776,0.547721725596,0.285528,250.0,-250.0,pre_close,2026-05-21T00:19:36Z,3b470f5d#phase10c,3a9fbeb7-bbf2-4770-8caa-483bdc3e5466,ok,0.0,high,full,current_phase8,latest_valid_report_selected,projected,derived_from_projected_minutes,bdl_plus_nba_official,2026-05-21T00:19:02Z,projected,not_available_yet,bdl_lineup_freshness_manifest,2026-05-21T00:18:47Z
Stephon Castle,1028025261,SAS,OKC,False,21713529,pts,24.5,24.5,stat_grid:pmf_sim_v1+role_aware_pmf_cal_v1:starter+monotone_pit_cdf_v1,phase8_role_aware_pmf_cal_v1+monotone_inactive_global_v1,role_aware_pmf_cal_v1,starter,derived_from_projected_minutes,29.693654,32.420799,0.05,20.124888,20.124888,20,20,0.00068427069,0.99931572931,0.9988169209,0.998353842716,0.997147070947,0.995533352538,0.992636122566,0.987366772298,0.981943589603,0.970795542348,0.955078237786,0.935730431061,0.914403327533,0.887577458295,0.851595318989,0.815568633011,0.766927930964,0.712387806728,0.658392451329,0.605503582776,0.547721725596,0.23001,335.0,-335.0,pre_close,2026-05-21T00:19:36Z,3b470f5d#phase10c,3a9fbeb7-bbf2-4770-8caa-483bdc3e5466,ok,0.0,high,full,current_phase8,latest_valid_report_selected,projected,derived_from_projected_minutes,bdl_plus_nba_official,2026-05-21T00:19:02Z,projected,not_available_yet,bdl_lineup_freshness_manifest,2026-05-21T00:18:47Z
Stephon Castle,1028025261,SAS,OKC,False,21713529,pts,25.5,25.5,stat_grid:pmf_sim_v1+role_aware_pmf_cal_v1:starter+monotone_pit_cdf_v1,phase8_role_aware_pmf_cal_v1+monotone_inactive_global_v1,role_aware_pmf_cal_v1,starter,derived_from_projected_minutes,29.693654,32.420799,0.05,20.124888,20.124888,20,20,0.00068427069,0.99931572931,0.9988169209,0.998353842716,0.997147070947,0.995533352538,0.992636122566,0.987366772298,0.981943589603,0.970795542348,0.955078237786,0.935730431061,0.914403327533,0.887577458295,0.851595318989,0.815568633011,0.766927930964,0.712387806728,0.658392451329,0.605503582776,0.547721725596,0.182791,447.0,-447.0,pre_close,2026-05-21T00:19:36Z,3b470f5d#phase10c,3a9fbeb7-bbf2-4770-8caa-483bdc3e5466,ok,0.0,high,full,current_phase8,latest_valid_report_selected,projected,derived_from_projected_minutes,bdl_plus_nba_official,2026-05-21T00:19:02Z,projected,not_available_yet,bdl_lineup_freshness_manifest,2026-05-21T00:18:47Z
Stephon Castle,1028025261,SAS,OKC,False,21713529,pts,26.5,26.5,stat_grid:pmf_sim_v1+role_aware_pmf_cal_v1:starter+monotone_pit_cdf_v1,phase8_role_aware_pmf_cal_v1+monotone_inactive_global_v1,role_aware_pmf_cal_v1,starter,derived_from_projected_minutes,29.693654,32.420799,0.05,20.124888,20.124888,20,20,0.00068427069,0.99931572931,0.9988169209,0.998353842716,0.997147070947,0.995533352538,0.992636122566,0.987366772298,0.981943589603,0.970795542348,0.955078237786,0.935730431061,0.914403327533,0.887577458295,0.851595318989,0.815568633011,0.766927930964,0.712387806728,0.658392451329,0.605503582776,0.547721725596,0.141967,604.0,-604.0,pre_close,2026-05-21T00:19:36Z,3b470f5d#phase10c,3a9fbeb7-bbf2-4770-8caa-483bdc3e5466,ok,0.0,high,full,current_phase8,latest_valid_report_selected,projected,derived_from_projected_minutes,bdl_plus_nba_official,2026-05-21T00:19:02Z,projected,not_available_yet,bdl_lineup_freshness_manifest,2026-05-21T00:18:47Z
