player_name,player_id,team,opponent,is_home,game_id,stat,line,market_line,pmf_source,calibration_source,cal_source,role_bucket,role_source,minutes_mean,minutes_q50,p_inactive_used,mean,pmf_mean,median,mode,p0,p_ge_1,p_ge_2,p_ge_3,p_ge_4,p_ge_5,p_ge_6,p_ge_7,p_ge_8,p_ge_9,p_ge_10,p_ge_11,p_ge_12,p_ge_13,p_ge_14,p_ge_15,p_ge_16,p_ge_17,p_ge_18,p_ge_19,p_ge_20,p_over,fair_over_odds_american,fair_under_odds_american,snapshot_type,snapshot_time_utc,model_version,pipeline_run_id,pmf_valid,pmf_sum_error,calibration_confidence,market_coverage_status,tov_status,injury_freshness_status,lineup_freshness_status,role_freshness_status,injury_context_source,injury_report_fetched_at_utc,expected_lineup_status,official_lineup_status,lineup_source,lineup_last_updated_utc,line_source
Miles McBride,17896033,NYK,SAS,True,21716137,pra,18.5,18.5,"stat_grid:component_convolution_mean_coherent_v1+components[pts:pmf_sim_v1+role_aware_pmf_cal_v1:bench+monotone_pit_cdf_v1,reb:pmf_sim_v1+role_aware_pmf_cal_v1:bench+monotone_pit_cdf_v1,ast:pmf_sim_v1+role_aware_pmf_cal_v1:bench+monotone_pit_cdf_v1]+prior_combo[joint_sampler_v1+joint_combo_pmf_v1+role_aware_pmf_cal_v1:bench+monotone_pit_cdf_v1]+stat_grid_final_component_convolution_mean_coherent_v1",phase8_role_aware_pmf_cal_v1+monotone_inactive_global_v1,phase8_pmf_cal,bench,derived_from_projected_minutes,15.9603,15.2921,0.05,8.4176,8.4176,8,7,0.0183,0.9817,0.9405,0.8828,0.8216,0.7585,0.6895,0.6132,0.533,0.4536,0.3794,0.3123,0.2522,0.1988,0.1533,0.1163,0.0871,0.0644,0.0474,0.035,0.026,0.035,2754.0,-2754.0,morning,2026-06-10T23:27:36Z,5f8521df#phase10c,4bdbb6d0-8901-4dd0-b447-6ec74ac3bf6f,ok,0.0,medium,full,current_phase8,latest_valid_report_selected,projected,derived_from_projected_minutes,bdl_plus_nba_official,2026-06-10T23:26:36Z,projected,not_available_yet,bdl_lineup_freshness_manifest,2026-06-10T23:04:23Z,model_grid
Miles McBride,17896033,NYK,SAS,True,21716137,pra,19.5,19.5,"stat_grid:component_convolution_mean_coherent_v1+components[pts:pmf_sim_v1+role_aware_pmf_cal_v1:bench+monotone_pit_cdf_v1,reb:pmf_sim_v1+role_aware_pmf_cal_v1:bench+monotone_pit_cdf_v1,ast:pmf_sim_v1+role_aware_pmf_cal_v1:bench+monotone_pit_cdf_v1]+prior_combo[joint_sampler_v1+joint_combo_pmf_v1+role_aware_pmf_cal_v1:bench+monotone_pit_cdf_v1]+stat_grid_final_component_convolution_mean_coherent_v1",phase8_role_aware_pmf_cal_v1+monotone_inactive_global_v1,phase8_pmf_cal,bench,derived_from_projected_minutes,15.9603,15.2921,0.05,8.4176,8.4176,8,7,0.0183,0.9817,0.9405,0.8828,0.8216,0.7585,0.6895,0.6132,0.533,0.4536,0.3794,0.3123,0.2522,0.1988,0.1533,0.1163,0.0871,0.0644,0.0474,0.035,0.026,0.026,3751.0,-3751.0,morning,2026-06-10T23:27:36Z,5f8521df#phase10c,4bdbb6d0-8901-4dd0-b447-6ec74ac3bf6f,ok,0.0,medium,full,current_phase8,latest_valid_report_selected,projected,derived_from_projected_minutes,bdl_plus_nba_official,2026-06-10T23:26:36Z,projected,not_available_yet,bdl_lineup_freshness_manifest,2026-06-10T23:04:23Z,model_grid
Julian Champagnie,38017649,SAS,NYK,False,21716137,pts,0.5,0.5,stat_grid:pmf_sim_v1+role_aware_pmf_cal_v1:core+monotone_pit_cdf_v1,phase8_role_aware_pmf_cal_v1+monotone_inactive_global_v1,role_aware_pmf_cal_v1,core,derived_from_projected_minutes,27.6911,30.0879,0.05,10.9785,10.9785,10,8,0.0122,0.9878,0.9739,0.9461,0.9137,0.8783,0.8303,0.7816,0.7162,0.6289,0.5481,0.4896,0.4023,0.3519,0.2887,0.2496,0.2233,0.184,0.1384,0.1111,0.0971,0.9878,-8071.0,8071.0,morning,2026-06-10T23:27:36Z,5f8521df#phase10c,4bdbb6d0-8901-4dd0-b447-6ec74ac3bf6f,ok,0.0,high,full,current_phase8,latest_valid_report_selected,projected,derived_from_projected_minutes,bdl_plus_nba_official,2026-06-10T23:26:36Z,projected,not_available_yet,bdl_lineup_freshness_manifest,2026-06-10T23:04:23Z,model_grid
Julian Champagnie,38017649,SAS,NYK,False,21716137,pts,1.5,1.5,stat_grid:pmf_sim_v1+role_aware_pmf_cal_v1:core+monotone_pit_cdf_v1,phase8_role_aware_pmf_cal_v1+monotone_inactive_global_v1,role_aware_pmf_cal_v1,core,derived_from_projected_minutes,27.6911,30.0879,0.05,10.9785,10.9785,10,8,0.0122,0.9878,0.9739,0.9461,0.9137,0.8783,0.8303,0.7816,0.7162,0.6289,0.5481,0.4896,0.4023,0.3519,0.2887,0.2496,0.2233,0.184,0.1384,0.1111,0.0971,0.9739,-3729.0,3729.0,morning,2026-06-10T23:27:36Z,5f8521df#phase10c,4bdbb6d0-8901-4dd0-b447-6ec74ac3bf6f,ok,0.0,high,full,current_phase8,latest_valid_report_selected,projected,derived_from_projected_minutes,bdl_plus_nba_official,2026-06-10T23:26:36Z,projected,not_available_yet,bdl_lineup_freshness_manifest,2026-06-10T23:04:23Z,model_grid
Julian Champagnie,38017649,SAS,NYK,False,21716137,pts,2.5,2.5,stat_grid:pmf_sim_v1+role_aware_pmf_cal_v1:core+monotone_pit_cdf_v1,phase8_role_aware_pmf_cal_v1+monotone_inactive_global_v1,role_aware_pmf_cal_v1,core,derived_from_projected_minutes,27.6911,30.0879,0.05,10.9785,10.9785,10,8,0.0122,0.9878,0.9739,0.9461,0.9137,0.8783,0.8303,0.7816,0.7162,0.6289,0.5481,0.4896,0.4023,0.3519,0.2887,0.2496,0.2233,0.184,0.1384,0.1111,0.0971,0.9461,-1754.0,1754.0,morning,2026-06-10T23:27:36Z,5f8521df#phase10c,4bdbb6d0-8901-4dd0-b447-6ec74ac3bf6f,ok,0.0,high,full,current_phase8,latest_valid_report_selected,projected,derived_from_projected_minutes,bdl_plus_nba_official,2026-06-10T23:26:36Z,projected,not_available_yet,bdl_lineup_freshness_manifest,2026-06-10T23:04:23Z,model_grid
Julian Champagnie,38017649,SAS,NYK,False,21716137,pts,3.5,3.5,stat_grid:pmf_sim_v1+role_aware_pmf_cal_v1:core+monotone_pit_cdf_v1,phase8_role_aware_pmf_cal_v1+monotone_inactive_global_v1,role_aware_pmf_cal_v1,core,derived_from_projected_minutes,27.6911,30.0879,0.05,10.9785,10.9785,10,8,0.0122,0.9878,0.9739,0.9461,0.9137,0.8783,0.8303,0.7816,0.7162,0.6289,0.5481,0.4896,0.4023,0.3519,0.2887,0.2496,0.2233,0.184,0.1384,0.1111,0.0971,0.9137,-1059.0,1059.0,morning,2026-06-10T23:27:36Z,5f8521df#phase10c,4bdbb6d0-8901-4dd0-b447-6ec74ac3bf6f,ok,0.0,high,full,current_phase8,latest_valid_report_selected,projected,derived_from_projected_minutes,bdl_plus_nba_official,2026-06-10T23:26:36Z,projected,not_available_yet,bdl_lineup_freshness_manifest,2026-06-10T23:04:23Z,model_grid
Julian Champagnie,38017649,SAS,NYK,False,21716137,pts,4.5,4.5,stat_grid:pmf_sim_v1+role_aware_pmf_cal_v1:core+monotone_pit_cdf_v1,phase8_role_aware_pmf_cal_v1+monotone_inactive_global_v1,role_aware_pmf_cal_v1,core,derived_from_projected_minutes,27.6911,30.0879,0.05,10.9785,10.9785,10,8,0.0122,0.9878,0.9739,0.9461,0.9137,0.8783,0.8303,0.7816,0.7162,0.6289,0.5481,0.4896,0.4023,0.3519,0.2887,0.2496,0.2233,0.184,0.1384,0.1111,0.0971,0.8783,-722.0,722.0,morning,2026-06-10T23:27:36Z,5f8521df#phase10c,4bdbb6d0-8901-4dd0-b447-6ec74ac3bf6f,ok,0.0,high,full,current_phase8,latest_valid_report_selected,projected,derived_from_projected_minutes,bdl_plus_nba_official,2026-06-10T23:26:36Z,projected,not_available_yet,bdl_lineup_freshness_manifest,2026-06-10T23:04:23Z,model_grid
Julian Champagnie,38017649,SAS,NYK,False,21716137,pts,5.5,5.5,stat_grid:pmf_sim_v1+role_aware_pmf_cal_v1:core+monotone_pit_cdf_v1,phase8_role_aware_pmf_cal_v1+monotone_inactive_global_v1,role_aware_pmf_cal_v1,core,derived_from_projected_minutes,27.6911,30.0879,0.05,10.9785,10.9785,10,8,0.0122,0.9878,0.9739,0.9461,0.9137,0.8783,0.8303,0.7816,0.7162,0.6289,0.5481,0.4896,0.4023,0.3519,0.2887,0.2496,0.2233,0.184,0.1384,0.1111,0.0971,0.8303,-489.0,489.0,morning,2026-06-10T23:27:36Z,5f8521df#phase10c,4bdbb6d0-8901-4dd0-b447-6ec74ac3bf6f,ok,0.0,high,full,current_phase8,latest_valid_report_selected,projected,derived_from_projected_minutes,bdl_plus_nba_official,2026-06-10T23:26:36Z,projected,not_available_yet,bdl_lineup_freshness_manifest,2026-06-10T23:04:23Z,model_grid
Julian Champagnie,38017649,SAS,NYK,False,21716137,pts,6.5,6.5,stat_grid:pmf_sim_v1+role_aware_pmf_cal_v1:core+monotone_pit_cdf_v1,phase8_role_aware_pmf_cal_v1+monotone_inactive_global_v1,role_aware_pmf_cal_v1,core,derived_from_projected_minutes,27.6911,30.0879,0.05,10.9785,10.9785,10,8,0.0122,0.9878,0.9739,0.9461,0.9137,0.8783,0.8303,0.7816,0.7162,0.6289,0.5481,0.4896,0.4023,0.3519,0.2887,0.2496,0.2233,0.184,0.1384,0.1111,0.0971,0.7816,-358.0,358.0,morning,2026-06-10T23:27:36Z,5f8521df#phase10c,4bdbb6d0-8901-4dd0-b447-6ec74ac3bf6f,ok,0.0,high,full,current_phase8,latest_valid_report_selected,projected,derived_from_projected_minutes,bdl_plus_nba_official,2026-06-10T23:26:36Z,projected,not_available_yet,bdl_lineup_freshness_manifest,2026-06-10T23:04:23Z,model_grid
Julian Champagnie,38017649,SAS,NYK,False,21716137,pts,7.5,7.5,stat_grid:pmf_sim_v1+role_aware_pmf_cal_v1:core+monotone_pit_cdf_v1,phase8_role_aware_pmf_cal_v1+monotone_inactive_global_v1,role_aware_pmf_cal_v1,core,derived_from_projected_minutes,27.6911,30.0879,0.05,10.9785,10.9785,10,8,0.0122,0.9878,0.9739,0.9461,0.9137,0.8783,0.8303,0.7816,0.7162,0.6289,0.5481,0.4896,0.4023,0.3519,0.2887,0.2496,0.2233,0.184,0.1384,0.1111,0.0971,0.7162,-252.0,252.0,morning,2026-06-10T23:27:36Z,5f8521df#phase10c,4bdbb6d0-8901-4dd0-b447-6ec74ac3bf6f,ok,0.0,high,full,current_phase8,latest_valid_report_selected,projected,derived_from_projected_minutes,bdl_plus_nba_official,2026-06-10T23:26:36Z,projected,not_available_yet,bdl_lineup_freshness_manifest,2026-06-10T23:04:23Z,model_grid
Julian Champagnie,38017649,SAS,NYK,False,21716137,pts,8.5,8.5,stat_grid:pmf_sim_v1+role_aware_pmf_cal_v1:core+monotone_pit_cdf_v1,phase8_role_aware_pmf_cal_v1+monotone_inactive_global_v1,role_aware_pmf_cal_v1,core,derived_from_projected_minutes,27.6911,30.0879,0.05,10.9785,10.9785,10,8,0.0122,0.9878,0.9739,0.9461,0.9137,0.8783,0.8303,0.7816,0.7162,0.6289,0.5481,0.4896,0.4023,0.3519,0.2887,0.2496,0.2233,0.184,0.1384,0.1111,0.0971,0.6288,-169.0,169.0,morning,2026-06-10T23:27:36Z,5f8521df#phase10c,4bdbb6d0-8901-4dd0-b447-6ec74ac3bf6f,ok,0.0,high,full,current_phase8,latest_valid_report_selected,projected,derived_from_projected_minutes,bdl_plus_nba_official,2026-06-10T23:26:36Z,projected,not_available_yet,bdl_lineup_freshness_manifest,2026-06-10T23:04:23Z,model_grid
Julian Champagnie,38017649,SAS,NYK,False,21716137,pts,9.5,9.5,stat_grid:pmf_sim_v1+role_aware_pmf_cal_v1:core+monotone_pit_cdf_v1,phase8_role_aware_pmf_cal_v1+monotone_inactive_global_v1,role_aware_pmf_cal_v1,core,derived_from_projected_minutes,27.6911,30.0879,0.05,10.9785,10.9785,10,8,0.0122,0.9878,0.9739,0.9461,0.9137,0.8783,0.8303,0.7816,0.7162,0.6289,0.5481,0.4896,0.4023,0.3519,0.2887,0.2496,0.2233,0.184,0.1384,0.1111,0.0971,0.5481,-121.0,121.0,morning,2026-06-10T23:27:36Z,5f8521df#phase10c,4bdbb6d0-8901-4dd0-b447-6ec74ac3bf6f,ok,0.0,high,full,current_phase8,latest_valid_report_selected,projected,derived_from_projected_minutes,bdl_plus_nba_official,2026-06-10T23:26:36Z,projected,not_available_yet,bdl_lineup_freshness_manifest,2026-06-10T23:04:23Z,model_grid
Julian Champagnie,38017649,SAS,NYK,False,21716137,pts,10.5,10.5,stat_grid:pmf_sim_v1+role_aware_pmf_cal_v1:core+monotone_pit_cdf_v1,phase8_role_aware_pmf_cal_v1+monotone_inactive_global_v1,role_aware_pmf_cal_v1,core,derived_from_projected_minutes,27.6911,30.0879,0.05,10.9785,10.9785,10,8,0.0122,0.9878,0.9739,0.9461,0.9137,0.8783,0.8303,0.7816,0.7162,0.6289,0.5481,0.4896,0.4023,0.3519,0.2887,0.2496,0.2233,0.184,0.1384,0.1111,0.0971,0.4896,104.0,-104.0,morning,2026-06-10T23:27:36Z,5f8521df#phase10c,4bdbb6d0-8901-4dd0-b447-6ec74ac3bf6f,ok,0.0,high,full,current_phase8,latest_valid_report_selected,projected,derived_from_projected_minutes,bdl_plus_nba_official,2026-06-10T23:26:36Z,projected,not_available_yet,bdl_lineup_freshness_manifest,2026-06-10T23:04:23Z,model_grid
