player_name,player_id,team,opponent,is_home,game_id,stat,line,market_line,pmf_source,calibration_source,cal_source,role_bucket,role_source,minutes_mean,minutes_q50,p_inactive_used,mean,pmf_mean,median,mode,p0,p_ge_1,p_ge_2,p_ge_3,p_ge_4,p_ge_5,p_ge_6,p_ge_7,p_ge_8,p_ge_9,p_ge_10,p_ge_11,p_ge_12,p_ge_13,p_ge_14,p_ge_15,p_ge_16,p_ge_17,p_ge_18,p_ge_19,p_ge_20,p_over,fair_over_odds_american,fair_under_odds_american,snapshot_type,snapshot_time_utc,model_version,pipeline_run_id,pmf_valid,pmf_sum_error,calibration_confidence,market_coverage_status,tov_status,injury_freshness_status,lineup_freshness_status,role_freshness_status,injury_context_source,injury_report_fetched_at_utc,expected_lineup_status,official_lineup_status,lineup_source,lineup_last_updated_utc,line_source
Stephon Castle,1028025261,SAS,OKC,True,21713533,pts,3.5,3.5,stat_grid:pmf_sim_v1+role_aware_pmf_cal_v1:starter+monotone_pit_cdf_v1,phase8_role_aware_pmf_cal_v1+monotone_inactive_global_v1,role_aware_pmf_cal_v1,starter,derived_from_projected_minutes,28.9303,31.0388,0.05,18.5746,18.5746,19,19,0.0014,0.9986,0.9979,0.9965,0.9937,0.9898,0.9837,0.9739,0.9636,0.9466,0.9236,0.8974,0.8694,0.8393,0.7943,0.7449,0.6836,0.6214,0.5677,0.5061,0.4172,0.9937,-15680.0,15680.0,morning,2026-05-28T23:09:49Z,12bafe90#phase10c,2c9cb3f6-e5f8-4349-aa99-cc3ba17d465d,ok,0.0,high,full,current_phase8,latest_valid_report_selected,projected,derived_from_projected_minutes,bdl_plus_nba_official,2026-05-28T23:09:00Z,projected,not_available_yet,bdl_lineup_freshness_manifest,2026-05-28T22:48:42Z,model_grid
Stephon Castle,1028025261,SAS,OKC,True,21713533,pts,4.5,4.5,stat_grid:pmf_sim_v1+role_aware_pmf_cal_v1:starter+monotone_pit_cdf_v1,phase8_role_aware_pmf_cal_v1+monotone_inactive_global_v1,role_aware_pmf_cal_v1,starter,derived_from_projected_minutes,28.9303,31.0388,0.05,18.5746,18.5746,19,19,0.0014,0.9986,0.9979,0.9965,0.9937,0.9898,0.9837,0.9739,0.9636,0.9466,0.9236,0.8974,0.8694,0.8393,0.7943,0.7449,0.6836,0.6214,0.5677,0.5061,0.4172,0.9898,-9727.0,9727.0,morning,2026-05-28T23:09:49Z,12bafe90#phase10c,2c9cb3f6-e5f8-4349-aa99-cc3ba17d465d,ok,0.0,high,full,current_phase8,latest_valid_report_selected,projected,derived_from_projected_minutes,bdl_plus_nba_official,2026-05-28T23:09:00Z,projected,not_available_yet,bdl_lineup_freshness_manifest,2026-05-28T22:48:42Z,model_grid
Stephon Castle,1028025261,SAS,OKC,True,21713533,pts,5.5,5.5,stat_grid:pmf_sim_v1+role_aware_pmf_cal_v1:starter+monotone_pit_cdf_v1,phase8_role_aware_pmf_cal_v1+monotone_inactive_global_v1,role_aware_pmf_cal_v1,starter,derived_from_projected_minutes,28.9303,31.0388,0.05,18.5746,18.5746,19,19,0.0014,0.9986,0.9979,0.9965,0.9937,0.9898,0.9837,0.9739,0.9636,0.9466,0.9236,0.8974,0.8694,0.8393,0.7943,0.7449,0.6836,0.6214,0.5677,0.5061,0.4172,0.9837,-6052.0,6052.0,morning,2026-05-28T23:09:49Z,12bafe90#phase10c,2c9cb3f6-e5f8-4349-aa99-cc3ba17d465d,ok,0.0,high,full,current_phase8,latest_valid_report_selected,projected,derived_from_projected_minutes,bdl_plus_nba_official,2026-05-28T23:09:00Z,projected,not_available_yet,bdl_lineup_freshness_manifest,2026-05-28T22:48:42Z,model_grid
Stephon Castle,1028025261,SAS,OKC,True,21713533,pts,6.5,6.5,stat_grid:pmf_sim_v1+role_aware_pmf_cal_v1:starter+monotone_pit_cdf_v1,phase8_role_aware_pmf_cal_v1+monotone_inactive_global_v1,role_aware_pmf_cal_v1,starter,derived_from_projected_minutes,28.9303,31.0388,0.05,18.5746,18.5746,19,19,0.0014,0.9986,0.9979,0.9965,0.9937,0.9898,0.9837,0.9739,0.9636,0.9466,0.9236,0.8974,0.8694,0.8393,0.7943,0.7449,0.6836,0.6214,0.5677,0.5061,0.4172,0.9739,-3726.0,3726.0,morning,2026-05-28T23:09:49Z,12bafe90#phase10c,2c9cb3f6-e5f8-4349-aa99-cc3ba17d465d,ok,0.0,high,full,current_phase8,latest_valid_report_selected,projected,derived_from_projected_minutes,bdl_plus_nba_official,2026-05-28T23:09:00Z,projected,not_available_yet,bdl_lineup_freshness_manifest,2026-05-28T22:48:42Z,model_grid
Stephon Castle,1028025261,SAS,OKC,True,21713533,pts,7.5,7.5,stat_grid:pmf_sim_v1+role_aware_pmf_cal_v1:starter+monotone_pit_cdf_v1,phase8_role_aware_pmf_cal_v1+monotone_inactive_global_v1,role_aware_pmf_cal_v1,starter,derived_from_projected_minutes,28.9303,31.0388,0.05,18.5746,18.5746,19,19,0.0014,0.9986,0.9979,0.9965,0.9937,0.9898,0.9837,0.9739,0.9636,0.9466,0.9236,0.8974,0.8694,0.8393,0.7943,0.7449,0.6836,0.6214,0.5677,0.5061,0.4172,0.9636,-2647.0,2647.0,morning,2026-05-28T23:09:49Z,12bafe90#phase10c,2c9cb3f6-e5f8-4349-aa99-cc3ba17d465d,ok,0.0,high,full,current_phase8,latest_valid_report_selected,projected,derived_from_projected_minutes,bdl_plus_nba_official,2026-05-28T23:09:00Z,projected,not_available_yet,bdl_lineup_freshness_manifest,2026-05-28T22:48:42Z,model_grid
Stephon Castle,1028025261,SAS,OKC,True,21713533,pts,8.5,8.5,stat_grid:pmf_sim_v1+role_aware_pmf_cal_v1:starter+monotone_pit_cdf_v1,phase8_role_aware_pmf_cal_v1+monotone_inactive_global_v1,role_aware_pmf_cal_v1,starter,derived_from_projected_minutes,28.9303,31.0388,0.05,18.5746,18.5746,19,19,0.0014,0.9986,0.9979,0.9965,0.9937,0.9898,0.9837,0.9739,0.9636,0.9466,0.9236,0.8974,0.8694,0.8393,0.7943,0.7449,0.6836,0.6214,0.5677,0.5061,0.4172,0.9466,-1774.0,1774.0,morning,2026-05-28T23:09:49Z,12bafe90#phase10c,2c9cb3f6-e5f8-4349-aa99-cc3ba17d465d,ok,0.0,high,full,current_phase8,latest_valid_report_selected,projected,derived_from_projected_minutes,bdl_plus_nba_official,2026-05-28T23:09:00Z,projected,not_available_yet,bdl_lineup_freshness_manifest,2026-05-28T22:48:42Z,model_grid
Stephon Castle,1028025261,SAS,OKC,True,21713533,pts,9.5,9.5,stat_grid:pmf_sim_v1+role_aware_pmf_cal_v1:starter+monotone_pit_cdf_v1,phase8_role_aware_pmf_cal_v1+monotone_inactive_global_v1,role_aware_pmf_cal_v1,starter,derived_from_projected_minutes,28.9303,31.0388,0.05,18.5746,18.5746,19,19,0.0014,0.9986,0.9979,0.9965,0.9937,0.9898,0.9837,0.9739,0.9636,0.9466,0.9236,0.8974,0.8694,0.8393,0.7943,0.7449,0.6836,0.6214,0.5677,0.5061,0.4172,0.9236,-1209.0,1209.0,morning,2026-05-28T23:09:49Z,12bafe90#phase10c,2c9cb3f6-e5f8-4349-aa99-cc3ba17d465d,ok,0.0,high,full,current_phase8,latest_valid_report_selected,projected,derived_from_projected_minutes,bdl_plus_nba_official,2026-05-28T23:09:00Z,projected,not_available_yet,bdl_lineup_freshness_manifest,2026-05-28T22:48:42Z,model_grid
Stephon Castle,1028025261,SAS,OKC,True,21713533,pts,10.5,10.5,stat_grid:pmf_sim_v1+role_aware_pmf_cal_v1:starter+monotone_pit_cdf_v1,phase8_role_aware_pmf_cal_v1+monotone_inactive_global_v1,role_aware_pmf_cal_v1,starter,derived_from_projected_minutes,28.9303,31.0388,0.05,18.5746,18.5746,19,19,0.0014,0.9986,0.9979,0.9965,0.9937,0.9898,0.9837,0.9739,0.9636,0.9466,0.9236,0.8974,0.8694,0.8393,0.7943,0.7449,0.6836,0.6214,0.5677,0.5061,0.4172,0.8974,-874.0,874.0,morning,2026-05-28T23:09:49Z,12bafe90#phase10c,2c9cb3f6-e5f8-4349-aa99-cc3ba17d465d,ok,0.0,high,full,current_phase8,latest_valid_report_selected,projected,derived_from_projected_minutes,bdl_plus_nba_official,2026-05-28T23:09:00Z,projected,not_available_yet,bdl_lineup_freshness_manifest,2026-05-28T22:48:42Z,model_grid
Stephon Castle,1028025261,SAS,OKC,True,21713533,pts,11.5,11.5,stat_grid:pmf_sim_v1+role_aware_pmf_cal_v1:starter+monotone_pit_cdf_v1,phase8_role_aware_pmf_cal_v1+monotone_inactive_global_v1,role_aware_pmf_cal_v1,starter,derived_from_projected_minutes,28.9303,31.0388,0.05,18.5746,18.5746,19,19,0.0014,0.9986,0.9979,0.9965,0.9937,0.9898,0.9837,0.9739,0.9636,0.9466,0.9236,0.8974,0.8694,0.8393,0.7943,0.7449,0.6836,0.6214,0.5677,0.5061,0.4172,0.8694,-666.0,666.0,morning,2026-05-28T23:09:49Z,12bafe90#phase10c,2c9cb3f6-e5f8-4349-aa99-cc3ba17d465d,ok,0.0,high,full,current_phase8,latest_valid_report_selected,projected,derived_from_projected_minutes,bdl_plus_nba_official,2026-05-28T23:09:00Z,projected,not_available_yet,bdl_lineup_freshness_manifest,2026-05-28T22:48:42Z,model_grid
Stephon Castle,1028025261,SAS,OKC,True,21713533,pts,12.5,12.5,stat_grid:pmf_sim_v1+role_aware_pmf_cal_v1:starter+monotone_pit_cdf_v1,phase8_role_aware_pmf_cal_v1+monotone_inactive_global_v1,role_aware_pmf_cal_v1,starter,derived_from_projected_minutes,28.9303,31.0388,0.05,18.5746,18.5746,19,19,0.0014,0.9986,0.9979,0.9965,0.9937,0.9898,0.9837,0.9739,0.9636,0.9466,0.9236,0.8974,0.8694,0.8393,0.7943,0.7449,0.6836,0.6214,0.5677,0.5061,0.4172,0.8393,-522.0,522.0,morning,2026-05-28T23:09:49Z,12bafe90#phase10c,2c9cb3f6-e5f8-4349-aa99-cc3ba17d465d,ok,0.0,high,full,current_phase8,latest_valid_report_selected,projected,derived_from_projected_minutes,bdl_plus_nba_official,2026-05-28T23:09:00Z,projected,not_available_yet,bdl_lineup_freshness_manifest,2026-05-28T22:48:42Z,model_grid
Stephon Castle,1028025261,SAS,OKC,True,21713533,pts,13.5,13.5,stat_grid:pmf_sim_v1+role_aware_pmf_cal_v1:starter+monotone_pit_cdf_v1,phase8_role_aware_pmf_cal_v1+monotone_inactive_global_v1,role_aware_pmf_cal_v1,starter,derived_from_projected_minutes,28.9303,31.0388,0.05,18.5746,18.5746,19,19,0.0014,0.9986,0.9979,0.9965,0.9937,0.9898,0.9837,0.9739,0.9636,0.9466,0.9236,0.8974,0.8694,0.8393,0.7943,0.7449,0.6836,0.6214,0.5677,0.5061,0.4172,0.7943,-386.0,386.0,morning,2026-05-28T23:09:49Z,12bafe90#phase10c,2c9cb3f6-e5f8-4349-aa99-cc3ba17d465d,ok,0.0,high,full,current_phase8,latest_valid_report_selected,projected,derived_from_projected_minutes,bdl_plus_nba_official,2026-05-28T23:09:00Z,projected,not_available_yet,bdl_lineup_freshness_manifest,2026-05-28T22:48:42Z,model_grid
Stephon Castle,1028025261,SAS,OKC,True,21713533,pts,14.5,14.5,stat_grid:pmf_sim_v1+role_aware_pmf_cal_v1:starter+monotone_pit_cdf_v1,phase8_role_aware_pmf_cal_v1+monotone_inactive_global_v1,role_aware_pmf_cal_v1,starter,derived_from_projected_minutes,28.9303,31.0388,0.05,18.5746,18.5746,19,19,0.0014,0.9986,0.9979,0.9965,0.9937,0.9898,0.9837,0.9739,0.9636,0.9466,0.9236,0.8974,0.8694,0.8393,0.7943,0.7449,0.6836,0.6214,0.5677,0.5061,0.4172,0.7449,-292.0,292.0,morning,2026-05-28T23:09:49Z,12bafe90#phase10c,2c9cb3f6-e5f8-4349-aa99-cc3ba17d465d,ok,0.0,high,full,current_phase8,latest_valid_report_selected,projected,derived_from_projected_minutes,bdl_plus_nba_official,2026-05-28T23:09:00Z,projected,not_available_yet,bdl_lineup_freshness_manifest,2026-05-28T22:48:42Z,model_grid
Stephon Castle,1028025261,SAS,OKC,True,21713533,pts,15.5,15.5,stat_grid:pmf_sim_v1+role_aware_pmf_cal_v1:starter+monotone_pit_cdf_v1,phase8_role_aware_pmf_cal_v1+monotone_inactive_global_v1,role_aware_pmf_cal_v1,starter,derived_from_projected_minutes,28.9303,31.0388,0.05,18.5746,18.5746,19,19,0.0014,0.9986,0.9979,0.9965,0.9937,0.9898,0.9837,0.9739,0.9636,0.9466,0.9236,0.8974,0.8694,0.8393,0.7943,0.7449,0.6836,0.6214,0.5677,0.5061,0.4172,0.6836,-216.0,216.0,morning,2026-05-28T23:09:49Z,12bafe90#phase10c,2c9cb3f6-e5f8-4349-aa99-cc3ba17d465d,ok,0.0,high,full,current_phase8,latest_valid_report_selected,projected,derived_from_projected_minutes,bdl_plus_nba_official,2026-05-28T23:09:00Z,projected,not_available_yet,bdl_lineup_freshness_manifest,2026-05-28T22:48:42Z,model_grid
Stephon Castle,1028025261,SAS,OKC,True,21713533,pts,16.5,16.5,stat_grid:pmf_sim_v1+role_aware_pmf_cal_v1:starter+monotone_pit_cdf_v1,phase8_role_aware_pmf_cal_v1+monotone_inactive_global_v1,role_aware_pmf_cal_v1,starter,derived_from_projected_minutes,28.9303,31.0388,0.05,18.5746,18.5746,19,19,0.0014,0.9986,0.9979,0.9965,0.9937,0.9898,0.9837,0.9739,0.9636,0.9466,0.9236,0.8974,0.8694,0.8393,0.7943,0.7449,0.6836,0.6214,0.5677,0.5061,0.4172,0.6214,-164.0,164.0,morning,2026-05-28T23:09:49Z,12bafe90#phase10c,2c9cb3f6-e5f8-4349-aa99-cc3ba17d465d,ok,0.0,high,full,current_phase8,latest_valid_report_selected,projected,derived_from_projected_minutes,bdl_plus_nba_official,2026-05-28T23:09:00Z,projected,not_available_yet,bdl_lineup_freshness_manifest,2026-05-28T22:48:42Z,model_grid
Stephon Castle,1028025261,SAS,OKC,True,21713533,pts,17.5,17.5,stat_grid:pmf_sim_v1+role_aware_pmf_cal_v1:starter+monotone_pit_cdf_v1,phase8_role_aware_pmf_cal_v1+monotone_inactive_global_v1,role_aware_pmf_cal_v1,starter,derived_from_projected_minutes,28.9303,31.0388,0.05,18.5746,18.5746,19,19,0.0014,0.9986,0.9979,0.9965,0.9937,0.9898,0.9837,0.9739,0.9636,0.9466,0.9236,0.8974,0.8694,0.8393,0.7943,0.7449,0.6836,0.6214,0.5677,0.5061,0.4172,0.5677,-131.0,131.0,morning,2026-05-28T23:09:49Z,12bafe90#phase10c,2c9cb3f6-e5f8-4349-aa99-cc3ba17d465d,ok,0.0,high,full,current_phase8,latest_valid_report_selected,projected,derived_from_projected_minutes,bdl_plus_nba_official,2026-05-28T23:09:00Z,projected,not_available_yet,bdl_lineup_freshness_manifest,2026-05-28T22:48:42Z,model_grid
