player_name,player_id,team,opponent,is_home,game_id,stat,line,market_line,book,market_over_odds,market_under_odds,market_no_vig_over_prob,pmf_source,calibration_source,cal_source,role_bucket,role_source,minutes_mean,minutes_q50,p_inactive_used,mean,pmf_mean,median,mode,p0,p_ge_1,p_ge_2,p_ge_3,p_ge_4,p_ge_5,p_ge_6,p_ge_7,p_ge_8,p_ge_9,p_ge_10,p_ge_11,p_ge_12,p_ge_13,p_ge_14,p_ge_15,p_ge_16,p_ge_17,p_ge_18,p_ge_19,p_ge_20,p_over,fair_over_odds_american,fair_under_odds_american,edge,snapshot_type,snapshot_time_utc,model_version,pipeline_run_id,pmf_valid,pmf_sum_error,calibration_confidence,market_coverage_status,tov_status,injury_freshness_status,lineup_freshness_status,role_freshness_status,injury_context_source,injury_report_fetched_at_utc,expected_lineup_status,official_lineup_status,lineup_source,line_source
Victor Wembanyama,56677822,SAS,OKC,True,21713533,ra,16.5,16.5,hardrockbet_az,-105,-125,0.4797,"stat_grid:component_convolution_mean_coherent_v1+components[reb:pmf_sim_v1+role_aware_pmf_cal_v1:starter+monotone_pit_cdf_v1,ast:pmf_sim_v1+role_aware_pmf_cal_v1:starter+monotone_pit_cdf_v1]+prior_combo[joint_sampler_v1+joint_combo_pmf_v1+role_aware_pmf_cal_v1:starter+monotone_pit_cdf_v1]+stat_grid_final_component_convolution_mean_coherent_v1",phase8_role_aware_pmf_cal_v1+monotone_inactive_global_v1,phase8_pmf_cal,starter,derived_from_projected_minutes,31.7275,35.1016,0.05,15.495,15.495,15,15,0.0,1.0,0.9998,0.9994,0.9988,0.998,0.9966,0.9941,0.9897,0.9811,0.9646,0.9364,0.8927,0.8283,0.737,0.6198,0.49,0.3667,0.2621,0.1788,0.1145,0.3667,173.0,-173.0,-0.113,pre_close,2026-05-28T20:14:45Z,9d4c4dac#phase10c,256373a4-5df8-488d-a03d-3bde8c51a2d8,ok,0.0,high,full,current_phase8,fallback_used,projected,derived_from_projected_minutes,bdl_plus_nba_official,2026-05-28T20:13:56Z,projected,not_available_yet,bdl_lineup_freshness_manifest,market_offered
Victor Wembanyama,56677822,SAS,OKC,True,21713533,ra,16.5,16.5,fliff,-110,-130,0.481,"stat_grid:component_convolution_mean_coherent_v1+components[reb:pmf_sim_v1+role_aware_pmf_cal_v1:starter+monotone_pit_cdf_v1,ast:pmf_sim_v1+role_aware_pmf_cal_v1:starter+monotone_pit_cdf_v1]+prior_combo[joint_sampler_v1+joint_combo_pmf_v1+role_aware_pmf_cal_v1:starter+monotone_pit_cdf_v1]+stat_grid_final_component_convolution_mean_coherent_v1",phase8_role_aware_pmf_cal_v1+monotone_inactive_global_v1,phase8_pmf_cal,starter,derived_from_projected_minutes,31.7275,35.1016,0.05,15.495,15.495,15,15,0.0,1.0,0.9998,0.9994,0.9988,0.998,0.9966,0.9941,0.9897,0.9811,0.9646,0.9364,0.8927,0.8283,0.737,0.6198,0.49,0.3667,0.2621,0.1788,0.1145,0.3667,173.0,-173.0,-0.1143,pre_close,2026-05-28T20:14:45Z,9d4c4dac#phase10c,256373a4-5df8-488d-a03d-3bde8c51a2d8,ok,0.0,high,full,current_phase8,fallback_used,projected,derived_from_projected_minutes,bdl_plus_nba_official,2026-05-28T20:13:56Z,projected,not_available_yet,bdl_lineup_freshness_manifest,market_offered
Victor Wembanyama,56677822,SAS,OKC,True,21713533,ra,16.5,16.5,espnbet,-110,-120,0.4899,"stat_grid:component_convolution_mean_coherent_v1+components[reb:pmf_sim_v1+role_aware_pmf_cal_v1:starter+monotone_pit_cdf_v1,ast:pmf_sim_v1+role_aware_pmf_cal_v1:starter+monotone_pit_cdf_v1]+prior_combo[joint_sampler_v1+joint_combo_pmf_v1+role_aware_pmf_cal_v1:starter+monotone_pit_cdf_v1]+stat_grid_final_component_convolution_mean_coherent_v1",phase8_role_aware_pmf_cal_v1+monotone_inactive_global_v1,phase8_pmf_cal,starter,derived_from_projected_minutes,31.7275,35.1016,0.05,15.495,15.495,15,15,0.0,1.0,0.9998,0.9994,0.9988,0.998,0.9966,0.9941,0.9897,0.9811,0.9646,0.9364,0.8927,0.8283,0.737,0.6198,0.49,0.3667,0.2621,0.1788,0.1145,0.3667,173.0,-173.0,-0.1231,pre_close,2026-05-28T20:14:45Z,9d4c4dac#phase10c,256373a4-5df8-488d-a03d-3bde8c51a2d8,ok,0.0,high,full,current_phase8,fallback_used,projected,derived_from_projected_minutes,bdl_plus_nba_official,2026-05-28T20:13:56Z,projected,not_available_yet,bdl_lineup_freshness_manifest,market_offered
Victor Wembanyama,56677822,SAS,OKC,True,21713533,pra,44.5,44.5,fanduel,-110,-120,0.4899,"stat_grid:component_convolution_mean_coherent_v1+components[pts:pmf_sim_v1+role_aware_pmf_cal_v1:starter+monotone_pit_cdf_v1,reb:pmf_sim_v1+role_aware_pmf_cal_v1:starter+monotone_pit_cdf_v1,ast:pmf_sim_v1+role_aware_pmf_cal_v1:starter+monotone_pit_cdf_v1]+prior_combo[joint_sampler_v1+joint_combo_pmf_v1+role_aware_pmf_cal_v1:starter+monotone_pit_cdf_v1]+stat_grid_final_component_convolution_mean_coherent_v1",phase8_role_aware_pmf_cal_v1+monotone_inactive_global_v1,phase8_pmf_cal,starter,derived_from_projected_minutes,31.7275,35.1016,0.05,40.5416,40.5416,40,40,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9999,0.9999,0.9998,0.9996,0.9994,0.999,0.9985,0.9978,0.9968,0.9953,0.2986,235.0,-235.0,-0.1912,pre_close,2026-05-28T20:14:45Z,9d4c4dac#phase10c,256373a4-5df8-488d-a03d-3bde8c51a2d8,ok,0.0,high,full,current_phase8,fallback_used,projected,derived_from_projected_minutes,bdl_plus_nba_official,2026-05-28T20:13:56Z,projected,not_available_yet,bdl_lineup_freshness_manifest,market_offered
Victor Wembanyama,56677822,SAS,OKC,True,21713533,pra,44.5,44.5,fanduel,-125,-106,0.5192,"stat_grid:component_convolution_mean_coherent_v1+components[pts:pmf_sim_v1+role_aware_pmf_cal_v1:starter+monotone_pit_cdf_v1,reb:pmf_sim_v1+role_aware_pmf_cal_v1:starter+monotone_pit_cdf_v1,ast:pmf_sim_v1+role_aware_pmf_cal_v1:starter+monotone_pit_cdf_v1]+prior_combo[joint_sampler_v1+joint_combo_pmf_v1+role_aware_pmf_cal_v1:starter+monotone_pit_cdf_v1]+stat_grid_final_component_convolution_mean_coherent_v1",phase8_role_aware_pmf_cal_v1+monotone_inactive_global_v1,phase8_pmf_cal,starter,derived_from_projected_minutes,31.7275,35.1016,0.05,40.5416,40.5416,40,40,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9999,0.9999,0.9998,0.9996,0.9994,0.999,0.9985,0.9978,0.9968,0.9953,0.2986,235.0,-235.0,-0.2205,pre_close,2026-05-28T20:14:45Z,9d4c4dac#phase10c,256373a4-5df8-488d-a03d-3bde8c51a2d8,ok,0.0,high,full,current_phase8,fallback_used,projected,derived_from_projected_minutes,bdl_plus_nba_official,2026-05-28T20:13:56Z,projected,not_available_yet,bdl_lineup_freshness_manifest,market_offered
Victor Wembanyama,56677822,SAS,OKC,True,21713533,pra,43.5,43.5,betmgm,-120,-110,0.5101,"stat_grid:component_convolution_mean_coherent_v1+components[pts:pmf_sim_v1+role_aware_pmf_cal_v1:starter+monotone_pit_cdf_v1,reb:pmf_sim_v1+role_aware_pmf_cal_v1:starter+monotone_pit_cdf_v1,ast:pmf_sim_v1+role_aware_pmf_cal_v1:starter+monotone_pit_cdf_v1]+prior_combo[joint_sampler_v1+joint_combo_pmf_v1+role_aware_pmf_cal_v1:starter+monotone_pit_cdf_v1]+stat_grid_final_component_convolution_mean_coherent_v1",phase8_role_aware_pmf_cal_v1+monotone_inactive_global_v1,phase8_pmf_cal,starter,derived_from_projected_minutes,31.7275,35.1016,0.05,40.5416,40.5416,40,40,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9999,0.9999,0.9998,0.9996,0.9994,0.999,0.9985,0.9978,0.9968,0.9953,0.3444,190.0,-190.0,-0.1657,pre_close,2026-05-28T20:14:45Z,9d4c4dac#phase10c,256373a4-5df8-488d-a03d-3bde8c51a2d8,ok,0.0,high,full,current_phase8,fallback_used,projected,derived_from_projected_minutes,bdl_plus_nba_official,2026-05-28T20:13:56Z,projected,not_available_yet,bdl_lineup_freshness_manifest,market_offered
Victor Wembanyama,56677822,SAS,OKC,True,21713533,pra,45.5,45.5,betrivers,112,-155,0.4369,"stat_grid:component_convolution_mean_coherent_v1+components[pts:pmf_sim_v1+role_aware_pmf_cal_v1:starter+monotone_pit_cdf_v1,reb:pmf_sim_v1+role_aware_pmf_cal_v1:starter+monotone_pit_cdf_v1,ast:pmf_sim_v1+role_aware_pmf_cal_v1:starter+monotone_pit_cdf_v1]+prior_combo[joint_sampler_v1+joint_combo_pmf_v1+role_aware_pmf_cal_v1:starter+monotone_pit_cdf_v1]+stat_grid_final_component_convolution_mean_coherent_v1",phase8_role_aware_pmf_cal_v1+monotone_inactive_global_v1,phase8_pmf_cal,starter,derived_from_projected_minutes,31.7275,35.1016,0.05,40.5416,40.5416,40,40,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9999,0.9999,0.9998,0.9996,0.9994,0.999,0.9985,0.9978,0.9968,0.9953,0.256,291.0,-291.0,-0.1809,pre_close,2026-05-28T20:14:45Z,9d4c4dac#phase10c,256373a4-5df8-488d-a03d-3bde8c51a2d8,ok,0.0,high,full,current_phase8,fallback_used,projected,derived_from_projected_minutes,bdl_plus_nba_official,2026-05-28T20:13:56Z,projected,not_available_yet,bdl_lineup_freshness_manifest,market_offered
Victor Wembanyama,56677822,SAS,OKC,True,21713533,pra,44.5,44.5,betrivers,-106,-129,0.4774,"stat_grid:component_convolution_mean_coherent_v1+components[pts:pmf_sim_v1+role_aware_pmf_cal_v1:starter+monotone_pit_cdf_v1,reb:pmf_sim_v1+role_aware_pmf_cal_v1:starter+monotone_pit_cdf_v1,ast:pmf_sim_v1+role_aware_pmf_cal_v1:starter+monotone_pit_cdf_v1]+prior_combo[joint_sampler_v1+joint_combo_pmf_v1+role_aware_pmf_cal_v1:starter+monotone_pit_cdf_v1]+stat_grid_final_component_convolution_mean_coherent_v1",phase8_role_aware_pmf_cal_v1+monotone_inactive_global_v1,phase8_pmf_cal,starter,derived_from_projected_minutes,31.7275,35.1016,0.05,40.5416,40.5416,40,40,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9999,0.9999,0.9998,0.9996,0.9994,0.999,0.9985,0.9978,0.9968,0.9953,0.2986,235.0,-235.0,-0.1788,pre_close,2026-05-28T20:14:45Z,9d4c4dac#phase10c,256373a4-5df8-488d-a03d-3bde8c51a2d8,ok,0.0,high,full,current_phase8,fallback_used,projected,derived_from_projected_minutes,bdl_plus_nba_official,2026-05-28T20:13:56Z,projected,not_available_yet,bdl_lineup_freshness_manifest,market_offered
Victor Wembanyama,56677822,SAS,OKC,True,21713533,pra,43.5,43.5,betrivers,-127,-108,0.5187,"stat_grid:component_convolution_mean_coherent_v1+components[pts:pmf_sim_v1+role_aware_pmf_cal_v1:starter+monotone_pit_cdf_v1,reb:pmf_sim_v1+role_aware_pmf_cal_v1:starter+monotone_pit_cdf_v1,ast:pmf_sim_v1+role_aware_pmf_cal_v1:starter+monotone_pit_cdf_v1]+prior_combo[joint_sampler_v1+joint_combo_pmf_v1+role_aware_pmf_cal_v1:starter+monotone_pit_cdf_v1]+stat_grid_final_component_convolution_mean_coherent_v1",phase8_role_aware_pmf_cal_v1+monotone_inactive_global_v1,phase8_pmf_cal,starter,derived_from_projected_minutes,31.7275,35.1016,0.05,40.5416,40.5416,40,40,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9999,0.9999,0.9998,0.9996,0.9994,0.999,0.9985,0.9978,0.9968,0.9953,0.3444,190.0,-190.0,-0.1743,pre_close,2026-05-28T20:14:45Z,9d4c4dac#phase10c,256373a4-5df8-488d-a03d-3bde8c51a2d8,ok,0.0,high,full,current_phase8,fallback_used,projected,derived_from_projected_minutes,bdl_plus_nba_official,2026-05-28T20:13:56Z,projected,not_available_yet,bdl_lineup_freshness_manifest,market_offered
Victor Wembanyama,56677822,SAS,OKC,True,21713533,pra,42.5,42.5,betrivers,-152,112,0.5612,"stat_grid:component_convolution_mean_coherent_v1+components[pts:pmf_sim_v1+role_aware_pmf_cal_v1:starter+monotone_pit_cdf_v1,reb:pmf_sim_v1+role_aware_pmf_cal_v1:starter+monotone_pit_cdf_v1,ast:pmf_sim_v1+role_aware_pmf_cal_v1:starter+monotone_pit_cdf_v1]+prior_combo[joint_sampler_v1+joint_combo_pmf_v1+role_aware_pmf_cal_v1:starter+monotone_pit_cdf_v1]+stat_grid_final_component_convolution_mean_coherent_v1",phase8_role_aware_pmf_cal_v1+monotone_inactive_global_v1,phase8_pmf_cal,starter,derived_from_projected_minutes,31.7275,35.1016,0.05,40.5416,40.5416,40,40,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9999,0.9999,0.9998,0.9996,0.9994,0.999,0.9985,0.9978,0.9968,0.9953,0.393,154.0,-154.0,-0.1682,pre_close,2026-05-28T20:14:45Z,9d4c4dac#phase10c,256373a4-5df8-488d-a03d-3bde8c51a2d8,ok,0.0,high,full,current_phase8,fallback_used,projected,derived_from_projected_minutes,bdl_plus_nba_official,2026-05-28T20:13:56Z,projected,not_available_yet,bdl_lineup_freshness_manifest,market_offered
