player_id,player_name,game_id
192,James Harden,21681995
322,Donovan Mitchell,21681995
227,Brandon Ingram,21681995
3547299,Sam Merrill,21681995
9,Jarrett Allen,21681995
1028029111,Ja'Kobe Walter,21681995
17896076,Evan Mobley,21681995
666423,RJ Barrett,21681995
1057268940,Collin Murray-Boyles,21681995
373,Jakob Poeltl,21681995
17896055,Scottie Barnes,21681995
409,Dennis Schroder,21681995
1028038426,Jamal Shead,21681995
17896059,Sandro Mamukelashvili,21681995
