player_name,player_id,team,opponent,is_home,game_id,stat,line,market_line,pmf_source,calibration_source,cal_source,role_bucket,role_source,minutes_mean,minutes_q50,p_inactive_used,mean,pmf_mean,median,mode,p0,p_ge_1,p_ge_2,p_ge_3,p_ge_4,p_ge_5,p_ge_6,p_ge_7,p_ge_8,p_ge_9,p_ge_10,p_ge_11,p_ge_12,p_ge_13,p_ge_14,p_ge_15,p_ge_16,p_ge_17,p_ge_18,p_ge_19,p_ge_20,p_over,fair_over_odds_american,fair_under_odds_american,snapshot_type,snapshot_time_utc,model_version,pipeline_run_id,pmf_valid,pmf_sum_error,calibration_confidence,market_coverage_status,tov_status,injury_freshness_status,lineup_freshness_status,role_freshness_status,injury_context_source,injury_report_fetched_at_utc,expected_lineup_status,official_lineup_status,lineup_source
Alex Caruso,89,OKC,SAS,False,21713531,pts,10.5,10.5,stat_grid:pmf_sim_v1+role_aware_pmf_cal_v1:rotation+monotone_pit_cdf_v1,phase8_role_aware_pmf_cal_v1+monotone_inactive_global_v1,role_aware_pmf_cal_v1,rotation,derived_from_projected_minutes,22.5514,21.9169,0.05,11.0646,11.0646,11,10,0.02,0.98,0.9505,0.9233,0.895,0.8617,0.8125,0.7625,0.7109,0.6473,0.576,0.5037,0.4342,0.3786,0.3239,0.2715,0.2312,0.1904,0.1421,0.1145,0.0904,0.5037,-101.0,101.0,pre_close,2026-05-24T20:51:49Z,a0eeb53f#phase10c,5549eb40-5d42-4027-b925-9b59db7bc4f2,ok,0.0,high,full,current_phase8,fallback_used,projected,derived_from_projected_minutes,bdl_plus_nba_official,2026-05-24T20:51:00Z,projected,not_available_yet,bdl_lineup_freshness_manifest
Alex Caruso,89,OKC,SAS,False,21713531,pts,11.5,11.5,stat_grid:pmf_sim_v1+role_aware_pmf_cal_v1:rotation+monotone_pit_cdf_v1,phase8_role_aware_pmf_cal_v1+monotone_inactive_global_v1,role_aware_pmf_cal_v1,rotation,derived_from_projected_minutes,22.5514,21.9169,0.05,11.0646,11.0646,11,10,0.02,0.98,0.9505,0.9233,0.895,0.8617,0.8125,0.7625,0.7109,0.6473,0.576,0.5037,0.4342,0.3786,0.3239,0.2715,0.2312,0.1904,0.1421,0.1145,0.0904,0.4342,130.0,-130.0,pre_close,2026-05-24T20:51:49Z,a0eeb53f#phase10c,5549eb40-5d42-4027-b925-9b59db7bc4f2,ok,0.0,high,full,current_phase8,fallback_used,projected,derived_from_projected_minutes,bdl_plus_nba_official,2026-05-24T20:51:00Z,projected,not_available_yet,bdl_lineup_freshness_manifest
Alex Caruso,89,OKC,SAS,False,21713531,pts,12.5,12.5,stat_grid:pmf_sim_v1+role_aware_pmf_cal_v1:rotation+monotone_pit_cdf_v1,phase8_role_aware_pmf_cal_v1+monotone_inactive_global_v1,role_aware_pmf_cal_v1,rotation,derived_from_projected_minutes,22.5514,21.9169,0.05,11.0646,11.0646,11,10,0.02,0.98,0.9505,0.9233,0.895,0.8617,0.8125,0.7625,0.7109,0.6473,0.576,0.5037,0.4342,0.3786,0.3239,0.2715,0.2312,0.1904,0.1421,0.1145,0.0904,0.3786,164.0,-164.0,pre_close,2026-05-24T20:51:49Z,a0eeb53f#phase10c,5549eb40-5d42-4027-b925-9b59db7bc4f2,ok,0.0,high,full,current_phase8,fallback_used,projected,derived_from_projected_minutes,bdl_plus_nba_official,2026-05-24T20:51:00Z,projected,not_available_yet,bdl_lineup_freshness_manifest
Alex Caruso,89,OKC,SAS,False,21713531,pts,13.5,13.5,stat_grid:pmf_sim_v1+role_aware_pmf_cal_v1:rotation+monotone_pit_cdf_v1,phase8_role_aware_pmf_cal_v1+monotone_inactive_global_v1,role_aware_pmf_cal_v1,rotation,derived_from_projected_minutes,22.5514,21.9169,0.05,11.0646,11.0646,11,10,0.02,0.98,0.9505,0.9233,0.895,0.8617,0.8125,0.7625,0.7109,0.6473,0.576,0.5037,0.4342,0.3786,0.3239,0.2715,0.2312,0.1904,0.1421,0.1145,0.0904,0.3239,209.0,-209.0,pre_close,2026-05-24T20:51:49Z,a0eeb53f#phase10c,5549eb40-5d42-4027-b925-9b59db7bc4f2,ok,0.0,high,full,current_phase8,fallback_used,projected,derived_from_projected_minutes,bdl_plus_nba_official,2026-05-24T20:51:00Z,projected,not_available_yet,bdl_lineup_freshness_manifest
Alex Caruso,89,OKC,SAS,False,21713531,pts,14.5,14.5,stat_grid:pmf_sim_v1+role_aware_pmf_cal_v1:rotation+monotone_pit_cdf_v1,phase8_role_aware_pmf_cal_v1+monotone_inactive_global_v1,role_aware_pmf_cal_v1,rotation,derived_from_projected_minutes,22.5514,21.9169,0.05,11.0646,11.0646,11,10,0.02,0.98,0.9505,0.9233,0.895,0.8617,0.8125,0.7625,0.7109,0.6473,0.576,0.5037,0.4342,0.3786,0.3239,0.2715,0.2312,0.1904,0.1421,0.1145,0.0904,0.2715,268.0,-268.0,pre_close,2026-05-24T20:51:49Z,a0eeb53f#phase10c,5549eb40-5d42-4027-b925-9b59db7bc4f2,ok,0.0,high,full,current_phase8,fallback_used,projected,derived_from_projected_minutes,bdl_plus_nba_official,2026-05-24T20:51:00Z,projected,not_available_yet,bdl_lineup_freshness_manifest
Alex Caruso,89,OKC,SAS,False,21713531,pts,15.5,15.5,stat_grid:pmf_sim_v1+role_aware_pmf_cal_v1:rotation+monotone_pit_cdf_v1,phase8_role_aware_pmf_cal_v1+monotone_inactive_global_v1,role_aware_pmf_cal_v1,rotation,derived_from_projected_minutes,22.5514,21.9169,0.05,11.0646,11.0646,11,10,0.02,0.98,0.9505,0.9233,0.895,0.8617,0.8125,0.7625,0.7109,0.6473,0.576,0.5037,0.4342,0.3786,0.3239,0.2715,0.2312,0.1904,0.1421,0.1145,0.0904,0.2312,333.0,-333.0,pre_close,2026-05-24T20:51:49Z,a0eeb53f#phase10c,5549eb40-5d42-4027-b925-9b59db7bc4f2,ok,0.0,high,full,current_phase8,fallback_used,projected,derived_from_projected_minutes,bdl_plus_nba_official,2026-05-24T20:51:00Z,projected,not_available_yet,bdl_lineup_freshness_manifest
Alex Caruso,89,OKC,SAS,False,21713531,pts,16.5,16.5,stat_grid:pmf_sim_v1+role_aware_pmf_cal_v1:rotation+monotone_pit_cdf_v1,phase8_role_aware_pmf_cal_v1+monotone_inactive_global_v1,role_aware_pmf_cal_v1,rotation,derived_from_projected_minutes,22.5514,21.9169,0.05,11.0646,11.0646,11,10,0.02,0.98,0.9505,0.9233,0.895,0.8617,0.8125,0.7625,0.7109,0.6473,0.576,0.5037,0.4342,0.3786,0.3239,0.2715,0.2312,0.1904,0.1421,0.1145,0.0904,0.1904,425.0,-425.0,pre_close,2026-05-24T20:51:49Z,a0eeb53f#phase10c,5549eb40-5d42-4027-b925-9b59db7bc4f2,ok,0.0,high,full,current_phase8,fallback_used,projected,derived_from_projected_minutes,bdl_plus_nba_official,2026-05-24T20:51:00Z,projected,not_available_yet,bdl_lineup_freshness_manifest
Alex Caruso,89,OKC,SAS,False,21713531,pts,17.5,17.5,stat_grid:pmf_sim_v1+role_aware_pmf_cal_v1:rotation+monotone_pit_cdf_v1,phase8_role_aware_pmf_cal_v1+monotone_inactive_global_v1,role_aware_pmf_cal_v1,rotation,derived_from_projected_minutes,22.5514,21.9169,0.05,11.0646,11.0646,11,10,0.02,0.98,0.9505,0.9233,0.895,0.8617,0.8125,0.7625,0.7109,0.6473,0.576,0.5037,0.4342,0.3786,0.3239,0.2715,0.2312,0.1904,0.1421,0.1145,0.0904,0.1421,604.0,-604.0,pre_close,2026-05-24T20:51:49Z,a0eeb53f#phase10c,5549eb40-5d42-4027-b925-9b59db7bc4f2,ok,0.0,high,full,current_phase8,fallback_used,projected,derived_from_projected_minutes,bdl_plus_nba_official,2026-05-24T20:51:00Z,projected,not_available_yet,bdl_lineup_freshness_manifest
Alex Caruso,89,OKC,SAS,False,21713531,pts,18.5,18.5,stat_grid:pmf_sim_v1+role_aware_pmf_cal_v1:rotation+monotone_pit_cdf_v1,phase8_role_aware_pmf_cal_v1+monotone_inactive_global_v1,role_aware_pmf_cal_v1,rotation,derived_from_projected_minutes,22.5514,21.9169,0.05,11.0646,11.0646,11,10,0.02,0.98,0.9505,0.9233,0.895,0.8617,0.8125,0.7625,0.7109,0.6473,0.576,0.5037,0.4342,0.3786,0.3239,0.2715,0.2312,0.1904,0.1421,0.1145,0.0904,0.1145,773.0,-773.0,pre_close,2026-05-24T20:51:49Z,a0eeb53f#phase10c,5549eb40-5d42-4027-b925-9b59db7bc4f2,ok,0.0,high,full,current_phase8,fallback_used,projected,derived_from_projected_minutes,bdl_plus_nba_official,2026-05-24T20:51:00Z,projected,not_available_yet,bdl_lineup_freshness_manifest
Alex Caruso,89,OKC,SAS,False,21713531,pts,19.5,19.5,stat_grid:pmf_sim_v1+role_aware_pmf_cal_v1:rotation+monotone_pit_cdf_v1,phase8_role_aware_pmf_cal_v1+monotone_inactive_global_v1,role_aware_pmf_cal_v1,rotation,derived_from_projected_minutes,22.5514,21.9169,0.05,11.0646,11.0646,11,10,0.02,0.98,0.9505,0.9233,0.895,0.8617,0.8125,0.7625,0.7109,0.6473,0.576,0.5037,0.4342,0.3786,0.3239,0.2715,0.2312,0.1904,0.1421,0.1145,0.0904,0.0904,1007.0,-1007.0,pre_close,2026-05-24T20:51:49Z,a0eeb53f#phase10c,5549eb40-5d42-4027-b925-9b59db7bc4f2,ok,0.0,high,full,current_phase8,fallback_used,projected,derived_from_projected_minutes,bdl_plus_nba_official,2026-05-24T20:51:00Z,projected,not_available_yet,bdl_lineup_freshness_manifest
Alex Caruso,89,OKC,SAS,False,21713531,pts,20.5,20.5,stat_grid:pmf_sim_v1+role_aware_pmf_cal_v1:rotation+monotone_pit_cdf_v1,phase8_role_aware_pmf_cal_v1+monotone_inactive_global_v1,role_aware_pmf_cal_v1,rotation,derived_from_projected_minutes,22.5514,21.9169,0.05,11.0646,11.0646,11,10,0.02,0.98,0.9505,0.9233,0.895,0.8617,0.8125,0.7625,0.7109,0.6473,0.576,0.5037,0.4342,0.3786,0.3239,0.2715,0.2312,0.1904,0.1421,0.1145,0.0904,0.0696,1337.0,-1337.0,pre_close,2026-05-24T20:51:49Z,a0eeb53f#phase10c,5549eb40-5d42-4027-b925-9b59db7bc4f2,ok,0.0,high,full,current_phase8,fallback_used,projected,derived_from_projected_minutes,bdl_plus_nba_official,2026-05-24T20:51:00Z,projected,not_available_yet,bdl_lineup_freshness_manifest
Alex Caruso,89,OKC,SAS,False,21713531,pts,21.5,21.5,stat_grid:pmf_sim_v1+role_aware_pmf_cal_v1:rotation+monotone_pit_cdf_v1,phase8_role_aware_pmf_cal_v1+monotone_inactive_global_v1,role_aware_pmf_cal_v1,rotation,derived_from_projected_minutes,22.5514,21.9169,0.05,11.0646,11.0646,11,10,0.02,0.98,0.9505,0.9233,0.895,0.8617,0.8125,0.7625,0.7109,0.6473,0.576,0.5037,0.4342,0.3786,0.3239,0.2715,0.2312,0.1904,0.1421,0.1145,0.0904,0.0552,1711.0,-1711.0,pre_close,2026-05-24T20:51:49Z,a0eeb53f#phase10c,5549eb40-5d42-4027-b925-9b59db7bc4f2,ok,0.0,high,full,current_phase8,fallback_used,projected,derived_from_projected_minutes,bdl_plus_nba_official,2026-05-24T20:51:00Z,projected,not_available_yet,bdl_lineup_freshness_manifest
Alex Caruso,89,OKC,SAS,False,21713531,pts,22.5,22.5,stat_grid:pmf_sim_v1+role_aware_pmf_cal_v1:rotation+monotone_pit_cdf_v1,phase8_role_aware_pmf_cal_v1+monotone_inactive_global_v1,role_aware_pmf_cal_v1,rotation,derived_from_projected_minutes,22.5514,21.9169,0.05,11.0646,11.0646,11,10,0.02,0.98,0.9505,0.9233,0.895,0.8617,0.8125,0.7625,0.7109,0.6473,0.576,0.5037,0.4342,0.3786,0.3239,0.2715,0.2312,0.1904,0.1421,0.1145,0.0904,0.0436,2193.0,-2193.0,pre_close,2026-05-24T20:51:49Z,a0eeb53f#phase10c,5549eb40-5d42-4027-b925-9b59db7bc4f2,ok,0.0,high,full,current_phase8,fallback_used,projected,derived_from_projected_minutes,bdl_plus_nba_official,2026-05-24T20:51:00Z,projected,not_available_yet,bdl_lineup_freshness_manifest
Alex Caruso,89,OKC,SAS,False,21713531,pts,23.5,23.5,stat_grid:pmf_sim_v1+role_aware_pmf_cal_v1:rotation+monotone_pit_cdf_v1,phase8_role_aware_pmf_cal_v1+monotone_inactive_global_v1,role_aware_pmf_cal_v1,rotation,derived_from_projected_minutes,22.5514,21.9169,0.05,11.0646,11.0646,11,10,0.02,0.98,0.9505,0.9233,0.895,0.8617,0.8125,0.7625,0.7109,0.6473,0.576,0.5037,0.4342,0.3786,0.3239,0.2715,0.2312,0.1904,0.1421,0.1145,0.0904,0.0298,3251.0,-3251.0,pre_close,2026-05-24T20:51:49Z,a0eeb53f#phase10c,5549eb40-5d42-4027-b925-9b59db7bc4f2,ok,0.0,high,full,current_phase8,fallback_used,projected,derived_from_projected_minutes,bdl_plus_nba_official,2026-05-24T20:51:00Z,projected,not_available_yet,bdl_lineup_freshness_manifest
Alex Caruso,89,OKC,SAS,False,21713531,pts,24.5,24.5,stat_grid:pmf_sim_v1+role_aware_pmf_cal_v1:rotation+monotone_pit_cdf_v1,phase8_role_aware_pmf_cal_v1+monotone_inactive_global_v1,role_aware_pmf_cal_v1,rotation,derived_from_projected_minutes,22.5514,21.9169,0.05,11.0646,11.0646,11,10,0.02,0.98,0.9505,0.9233,0.895,0.8617,0.8125,0.7625,0.7109,0.6473,0.576,0.5037,0.4342,0.3786,0.3239,0.2715,0.2312,0.1904,0.1421,0.1145,0.0904,0.0182,5399.0,-5399.0,pre_close,2026-05-24T20:51:49Z,a0eeb53f#phase10c,5549eb40-5d42-4027-b925-9b59db7bc4f2,ok,0.0,high,full,current_phase8,fallback_used,projected,derived_from_projected_minutes,bdl_plus_nba_official,2026-05-24T20:51:00Z,projected,not_available_yet,bdl_lineup_freshness_manifest
Alex Caruso,89,OKC,SAS,False,21713531,pts,25.5,25.5,stat_grid:pmf_sim_v1+role_aware_pmf_cal_v1:rotation+monotone_pit_cdf_v1,phase8_role_aware_pmf_cal_v1+monotone_inactive_global_v1,role_aware_pmf_cal_v1,rotation,derived_from_projected_minutes,22.5514,21.9169,0.05,11.0646,11.0646,11,10,0.02,0.98,0.9505,0.9233,0.895,0.8617,0.8125,0.7625,0.7109,0.6473,0.576,0.5037,0.4342,0.3786,0.3239,0.2715,0.2312,0.1904,0.1421,0.1145,0.0904,0.0107,9277.0,-9277.0,pre_close,2026-05-24T20:51:49Z,a0eeb53f#phase10c,5549eb40-5d42-4027-b925-9b59db7bc4f2,ok,0.0,high,full,current_phase8,fallback_used,projected,derived_from_projected_minutes,bdl_plus_nba_official,2026-05-24T20:51:00Z,projected,not_available_yet,bdl_lineup_freshness_manifest
Alex Caruso,89,OKC,SAS,False,21713531,pts,26.5,26.5,stat_grid:pmf_sim_v1+role_aware_pmf_cal_v1:rotation+monotone_pit_cdf_v1,phase8_role_aware_pmf_cal_v1+monotone_inactive_global_v1,role_aware_pmf_cal_v1,rotation,derived_from_projected_minutes,22.5514,21.9169,0.05,11.0646,11.0646,11,10,0.02,0.98,0.9505,0.9233,0.895,0.8617,0.8125,0.7625,0.7109,0.6473,0.576,0.5037,0.4342,0.3786,0.3239,0.2715,0.2312,0.1904,0.1421,0.1145,0.0904,0.0082,12046.0,-12046.0,pre_close,2026-05-24T20:51:49Z,a0eeb53f#phase10c,5549eb40-5d42-4027-b925-9b59db7bc4f2,ok,0.0,high,full,current_phase8,fallback_used,projected,derived_from_projected_minutes,bdl_plus_nba_official,2026-05-24T20:51:00Z,projected,not_available_yet,bdl_lineup_freshness_manifest
Alex Caruso,89,OKC,SAS,False,21713531,pts,27.5,27.5,stat_grid:pmf_sim_v1+role_aware_pmf_cal_v1:rotation+monotone_pit_cdf_v1,phase8_role_aware_pmf_cal_v1+monotone_inactive_global_v1,role_aware_pmf_cal_v1,rotation,derived_from_projected_minutes,22.5514,21.9169,0.05,11.0646,11.0646,11,10,0.02,0.98,0.9505,0.9233,0.895,0.8617,0.8125,0.7625,0.7109,0.6473,0.576,0.5037,0.4342,0.3786,0.3239,0.2715,0.2312,0.1904,0.1421,0.1145,0.0904,0.0056,17869.0,-17869.0,pre_close,2026-05-24T20:51:49Z,a0eeb53f#phase10c,5549eb40-5d42-4027-b925-9b59db7bc4f2,ok,0.0,high,full,current_phase8,fallback_used,projected,derived_from_projected_minutes,bdl_plus_nba_official,2026-05-24T20:51:00Z,projected,not_available_yet,bdl_lineup_freshness_manifest
Alex Caruso,89,OKC,SAS,False,21713531,pts,28.5,28.5,stat_grid:pmf_sim_v1+role_aware_pmf_cal_v1:rotation+monotone_pit_cdf_v1,phase8_role_aware_pmf_cal_v1+monotone_inactive_global_v1,role_aware_pmf_cal_v1,rotation,derived_from_projected_minutes,22.5514,21.9169,0.05,11.0646,11.0646,11,10,0.02,0.98,0.9505,0.9233,0.895,0.8617,0.8125,0.7625,0.7109,0.6473,0.576,0.5037,0.4342,0.3786,0.3239,0.2715,0.2312,0.1904,0.1421,0.1145,0.0904,0.0042,23507.0,-23507.0,pre_close,2026-05-24T20:51:49Z,a0eeb53f#phase10c,5549eb40-5d42-4027-b925-9b59db7bc4f2,ok,0.0,high,full,current_phase8,fallback_used,projected,derived_from_projected_minutes,bdl_plus_nba_official,2026-05-24T20:51:00Z,projected,not_available_yet,bdl_lineup_freshness_manifest
