player_name,player_id,team,opponent,is_home,game_id,stat,line,market_line,book,market_over_odds,market_under_odds,market_no_vig_over_prob,pmf_source,calibration_source,cal_source,role_bucket,role_source,minutes_mean,minutes_q50,p_inactive_used,mean,pmf_mean,median,mode,p0,p_ge_1,p_ge_2,p_ge_3,p_ge_4,p_ge_5,p_ge_6,p_ge_7,p_ge_8,p_ge_9,p_ge_10,p_ge_11,p_ge_12,p_ge_13,p_ge_14,p_ge_15,p_ge_16,p_ge_17,p_ge_18,p_ge_19,p_ge_20,p_over,fair_over_odds_american,fair_under_odds_american,edge,snapshot_type,snapshot_time_utc,model_version,pipeline_run_id,pmf_valid,pmf_sum_error,calibration_confidence,market_coverage_status,tov_status,injury_freshness_status,lineup_freshness_status,role_freshness_status,injury_context_source,injury_report_fetched_at_utc,expected_lineup_status,official_lineup_status,lineup_source
Alex Caruso,89,OKC,SAS,False,21713530,pts,9.5,9.5,betrivers,-134,-103,0.5302,stat_grid:pmf_sim_v1+role_aware_pmf_cal_v1:rotation+monotone_pit_cdf_v1,phase8_role_aware_pmf_cal_v1+monotone_inactive_global_v1,role_aware_pmf_cal_v1,rotation,derived_from_projected_minutes,21.2513,20.604,0.05,9.5997,9.5997,9,8,0.0348,0.9652,0.9279,0.8997,0.8639,0.8158,0.757,0.6981,0.6396,0.5624,0.4854,0.4135,0.3448,0.2879,0.2322,0.1813,0.1374,0.1006,0.0745,0.0564,0.0465,0.4854,106.0,-106.0,-0.0448,morning,2026-05-22T17:18:29Z,29bf868b#phase10c,b54c2670-1710-4380-982b-47eacc5477d0,ok,0.0,high,full,current_phase8,fallback_used,projected,derived_from_projected_minutes,bdl_plus_nba_official,2026-05-22T17:17:43Z,projected,not_available_yet,bdl_lineup_freshness_manifest
Alex Caruso,89,OKC,SAS,False,21713530,pts,10.5,10.5,draftkings,-109,-117,0.4917,stat_grid:pmf_sim_v1+role_aware_pmf_cal_v1:rotation+monotone_pit_cdf_v1,phase8_role_aware_pmf_cal_v1+monotone_inactive_global_v1,role_aware_pmf_cal_v1,rotation,derived_from_projected_minutes,21.2513,20.604,0.05,9.5997,9.5997,9,8,0.0348,0.9652,0.9279,0.8997,0.8639,0.8158,0.757,0.6981,0.6396,0.5624,0.4854,0.4135,0.3448,0.2879,0.2322,0.1813,0.1374,0.1006,0.0745,0.0564,0.0465,0.4135,142.0,-142.0,-0.0781,morning,2026-05-22T17:18:29Z,29bf868b#phase10c,b54c2670-1710-4380-982b-47eacc5477d0,ok,0.0,high,full,current_phase8,fallback_used,projected,derived_from_projected_minutes,bdl_plus_nba_official,2026-05-22T17:17:43Z,projected,not_available_yet,bdl_lineup_freshness_manifest
Alex Caruso,89,OKC,SAS,False,21713530,pts,10.5,10.5,fanduel,-102,-130,0.4718,stat_grid:pmf_sim_v1+role_aware_pmf_cal_v1:rotation+monotone_pit_cdf_v1,phase8_role_aware_pmf_cal_v1+monotone_inactive_global_v1,role_aware_pmf_cal_v1,rotation,derived_from_projected_minutes,21.2513,20.604,0.05,9.5997,9.5997,9,8,0.0348,0.9652,0.9279,0.8997,0.8639,0.8158,0.757,0.6981,0.6396,0.5624,0.4854,0.4135,0.3448,0.2879,0.2322,0.1813,0.1374,0.1006,0.0745,0.0564,0.0465,0.4135,142.0,-142.0,-0.0583,morning,2026-05-22T17:18:29Z,29bf868b#phase10c,b54c2670-1710-4380-982b-47eacc5477d0,ok,0.0,high,full,current_phase8,fallback_used,projected,derived_from_projected_minutes,bdl_plus_nba_official,2026-05-22T17:17:43Z,projected,not_available_yet,bdl_lineup_freshness_manifest
Alex Caruso,89,OKC,SAS,False,21713530,pts,9.5,9.5,fanduel,-132,100,0.5323,stat_grid:pmf_sim_v1+role_aware_pmf_cal_v1:rotation+monotone_pit_cdf_v1,phase8_role_aware_pmf_cal_v1+monotone_inactive_global_v1,role_aware_pmf_cal_v1,rotation,derived_from_projected_minutes,21.2513,20.604,0.05,9.5997,9.5997,9,8,0.0348,0.9652,0.9279,0.8997,0.8639,0.8158,0.757,0.6981,0.6396,0.5624,0.4854,0.4135,0.3448,0.2879,0.2322,0.1813,0.1374,0.1006,0.0745,0.0564,0.0465,0.4854,106.0,-106.0,-0.0469,morning,2026-05-22T17:18:29Z,29bf868b#phase10c,b54c2670-1710-4380-982b-47eacc5477d0,ok,0.0,high,full,current_phase8,fallback_used,projected,derived_from_projected_minutes,bdl_plus_nba_official,2026-05-22T17:17:43Z,projected,not_available_yet,bdl_lineup_freshness_manifest
Alex Caruso,89,OKC,SAS,False,21713530,pts,10.5,10.5,fanduel,-102,-130,0.4718,stat_grid:pmf_sim_v1+role_aware_pmf_cal_v1:rotation+monotone_pit_cdf_v1,phase8_role_aware_pmf_cal_v1+monotone_inactive_global_v1,role_aware_pmf_cal_v1,rotation,derived_from_projected_minutes,21.2513,20.604,0.05,9.5997,9.5997,9,8,0.0348,0.9652,0.9279,0.8997,0.8639,0.8158,0.757,0.6981,0.6396,0.5624,0.4854,0.4135,0.3448,0.2879,0.2322,0.1813,0.1374,0.1006,0.0745,0.0564,0.0465,0.4135,142.0,-142.0,-0.0583,morning,2026-05-22T17:18:29Z,29bf868b#phase10c,b54c2670-1710-4380-982b-47eacc5477d0,ok,0.0,high,full,current_phase8,fallback_used,projected,derived_from_projected_minutes,bdl_plus_nba_official,2026-05-22T17:17:43Z,projected,not_available_yet,bdl_lineup_freshness_manifest
Alex Caruso,89,OKC,SAS,False,21713530,pts,11.5,11.5,fanduel,130,-174,0.4064,stat_grid:pmf_sim_v1+role_aware_pmf_cal_v1:rotation+monotone_pit_cdf_v1,phase8_role_aware_pmf_cal_v1+monotone_inactive_global_v1,role_aware_pmf_cal_v1,rotation,derived_from_projected_minutes,21.2513,20.604,0.05,9.5997,9.5997,9,8,0.0348,0.9652,0.9279,0.8997,0.8639,0.8158,0.757,0.6981,0.6396,0.5624,0.4854,0.4135,0.3448,0.2879,0.2322,0.1813,0.1374,0.1006,0.0745,0.0564,0.0465,0.3448,190.0,-190.0,-0.0616,morning,2026-05-22T17:18:29Z,29bf868b#phase10c,b54c2670-1710-4380-982b-47eacc5477d0,ok,0.0,high,full,current_phase8,fallback_used,projected,derived_from_projected_minutes,bdl_plus_nba_official,2026-05-22T17:17:43Z,projected,not_available_yet,bdl_lineup_freshness_manifest
Alex Caruso,89,OKC,SAS,False,21713530,pts,13.5,13.5,fanduel,205,-290,0.306,stat_grid:pmf_sim_v1+role_aware_pmf_cal_v1:rotation+monotone_pit_cdf_v1,phase8_role_aware_pmf_cal_v1+monotone_inactive_global_v1,role_aware_pmf_cal_v1,rotation,derived_from_projected_minutes,21.2513,20.604,0.05,9.5997,9.5997,9,8,0.0348,0.9652,0.9279,0.8997,0.8639,0.8158,0.757,0.6981,0.6396,0.5624,0.4854,0.4135,0.3448,0.2879,0.2322,0.1813,0.1374,0.1006,0.0745,0.0564,0.0465,0.2322,331.0,-331.0,-0.0738,morning,2026-05-22T17:18:29Z,29bf868b#phase10c,b54c2670-1710-4380-982b-47eacc5477d0,ok,0.0,high,full,current_phase8,fallback_used,projected,derived_from_projected_minutes,bdl_plus_nba_official,2026-05-22T17:17:43Z,projected,not_available_yet,bdl_lineup_freshness_manifest
Alex Caruso,89,OKC,SAS,False,21713530,pts,14.5,14.5,fanduel,280,-400,0.2475,stat_grid:pmf_sim_v1+role_aware_pmf_cal_v1:rotation+monotone_pit_cdf_v1,phase8_role_aware_pmf_cal_v1+monotone_inactive_global_v1,role_aware_pmf_cal_v1,rotation,derived_from_projected_minutes,21.2513,20.604,0.05,9.5997,9.5997,9,8,0.0348,0.9652,0.9279,0.8997,0.8639,0.8158,0.757,0.6981,0.6396,0.5624,0.4854,0.4135,0.3448,0.2879,0.2322,0.1813,0.1374,0.1006,0.0745,0.0564,0.0465,0.1813,451.0,-451.0,-0.0662,morning,2026-05-22T17:18:29Z,29bf868b#phase10c,b54c2670-1710-4380-982b-47eacc5477d0,ok,0.0,high,full,current_phase8,fallback_used,projected,derived_from_projected_minutes,bdl_plus_nba_official,2026-05-22T17:17:43Z,projected,not_available_yet,bdl_lineup_freshness_manifest
Alex Caruso,89,OKC,SAS,False,21713530,pts,12.5,12.5,fanduel,168,-230,0.3487,stat_grid:pmf_sim_v1+role_aware_pmf_cal_v1:rotation+monotone_pit_cdf_v1,phase8_role_aware_pmf_cal_v1+monotone_inactive_global_v1,role_aware_pmf_cal_v1,rotation,derived_from_projected_minutes,21.2513,20.604,0.05,9.5997,9.5997,9,8,0.0348,0.9652,0.9279,0.8997,0.8639,0.8158,0.757,0.6981,0.6396,0.5624,0.4854,0.4135,0.3448,0.2879,0.2322,0.1813,0.1374,0.1006,0.0745,0.0564,0.0465,0.2879,247.0,-247.0,-0.0608,morning,2026-05-22T17:18:29Z,29bf868b#phase10c,b54c2670-1710-4380-982b-47eacc5477d0,ok,0.0,high,full,current_phase8,fallback_used,projected,derived_from_projected_minutes,bdl_plus_nba_official,2026-05-22T17:17:43Z,projected,not_available_yet,bdl_lineup_freshness_manifest
Alex Caruso,89,OKC,SAS,False,21713530,pts,10.5,10.5,hardrockbet_fl,-110,-120,0.4899,stat_grid:pmf_sim_v1+role_aware_pmf_cal_v1:rotation+monotone_pit_cdf_v1,phase8_role_aware_pmf_cal_v1+monotone_inactive_global_v1,role_aware_pmf_cal_v1,rotation,derived_from_projected_minutes,21.2513,20.604,0.05,9.5997,9.5997,9,8,0.0348,0.9652,0.9279,0.8997,0.8639,0.8158,0.757,0.6981,0.6396,0.5624,0.4854,0.4135,0.3448,0.2879,0.2322,0.1813,0.1374,0.1006,0.0745,0.0564,0.0465,0.4135,142.0,-142.0,-0.0763,morning,2026-05-22T17:18:29Z,29bf868b#phase10c,b54c2670-1710-4380-982b-47eacc5477d0,ok,0.0,high,full,current_phase8,fallback_used,projected,derived_from_projected_minutes,bdl_plus_nba_official,2026-05-22T17:17:43Z,projected,not_available_yet,bdl_lineup_freshness_manifest
Alex Caruso,89,OKC,SAS,False,21713530,pts,9.5,9.5,fliff,-135,-105,0.5287,stat_grid:pmf_sim_v1+role_aware_pmf_cal_v1:rotation+monotone_pit_cdf_v1,phase8_role_aware_pmf_cal_v1+monotone_inactive_global_v1,role_aware_pmf_cal_v1,rotation,derived_from_projected_minutes,21.2513,20.604,0.05,9.5997,9.5997,9,8,0.0348,0.9652,0.9279,0.8997,0.8639,0.8158,0.757,0.6981,0.6396,0.5624,0.4854,0.4135,0.3448,0.2879,0.2322,0.1813,0.1374,0.1006,0.0745,0.0564,0.0465,0.4854,106.0,-106.0,-0.0432,morning,2026-05-22T17:18:29Z,29bf868b#phase10c,b54c2670-1710-4380-982b-47eacc5477d0,ok,0.0,high,full,current_phase8,fallback_used,projected,derived_from_projected_minutes,bdl_plus_nba_official,2026-05-22T17:17:43Z,projected,not_available_yet,bdl_lineup_freshness_manifest
Alex Caruso,89,OKC,SAS,False,21713530,pts,10.5,10.5,betparx,100,-132,0.4677,stat_grid:pmf_sim_v1+role_aware_pmf_cal_v1:rotation+monotone_pit_cdf_v1,phase8_role_aware_pmf_cal_v1+monotone_inactive_global_v1,role_aware_pmf_cal_v1,rotation,derived_from_projected_minutes,21.2513,20.604,0.05,9.5997,9.5997,9,8,0.0348,0.9652,0.9279,0.8997,0.8639,0.8158,0.757,0.6981,0.6396,0.5624,0.4854,0.4135,0.3448,0.2879,0.2322,0.1813,0.1374,0.1006,0.0745,0.0564,0.0465,0.4135,142.0,-142.0,-0.0542,morning,2026-05-22T17:18:29Z,29bf868b#phase10c,b54c2670-1710-4380-982b-47eacc5477d0,ok,0.0,high,full,current_phase8,fallback_used,projected,derived_from_projected_minutes,bdl_plus_nba_official,2026-05-22T17:17:43Z,projected,not_available_yet,bdl_lineup_freshness_manifest
Alex Caruso,89,OKC,SAS,False,21713530,pts,9.5,9.5,betparx,-132,100,0.5323,stat_grid:pmf_sim_v1+role_aware_pmf_cal_v1:rotation+monotone_pit_cdf_v1,phase8_role_aware_pmf_cal_v1+monotone_inactive_global_v1,role_aware_pmf_cal_v1,rotation,derived_from_projected_minutes,21.2513,20.604,0.05,9.5997,9.5997,9,8,0.0348,0.9652,0.9279,0.8997,0.8639,0.8158,0.757,0.6981,0.6396,0.5624,0.4854,0.4135,0.3448,0.2879,0.2322,0.1813,0.1374,0.1006,0.0745,0.0564,0.0465,0.4854,106.0,-106.0,-0.0469,morning,2026-05-22T17:18:29Z,29bf868b#phase10c,b54c2670-1710-4380-982b-47eacc5477d0,ok,0.0,high,full,current_phase8,fallback_used,projected,derived_from_projected_minutes,bdl_plus_nba_official,2026-05-22T17:17:43Z,projected,not_available_yet,bdl_lineup_freshness_manifest
Alex Caruso,89,OKC,SAS,False,21713530,pts,11.5,11.5,espnbet,125,-165,0.4165,stat_grid:pmf_sim_v1+role_aware_pmf_cal_v1:rotation+monotone_pit_cdf_v1,phase8_role_aware_pmf_cal_v1+monotone_inactive_global_v1,role_aware_pmf_cal_v1,rotation,derived_from_projected_minutes,21.2513,20.604,0.05,9.5997,9.5997,9,8,0.0348,0.9652,0.9279,0.8997,0.8639,0.8158,0.757,0.6981,0.6396,0.5624,0.4854,0.4135,0.3448,0.2879,0.2322,0.1813,0.1374,0.1006,0.0745,0.0564,0.0465,0.3448,190.0,-190.0,-0.0717,morning,2026-05-22T17:18:29Z,29bf868b#phase10c,b54c2670-1710-4380-982b-47eacc5477d0,ok,0.0,high,full,current_phase8,fallback_used,projected,derived_from_projected_minutes,bdl_plus_nba_official,2026-05-22T17:17:43Z,projected,not_available_yet,bdl_lineup_freshness_manifest
Alex Caruso,89,OKC,SAS,False,21713530,pts,10.5,10.5,espnbet,-105,-125,0.4797,stat_grid:pmf_sim_v1+role_aware_pmf_cal_v1:rotation+monotone_pit_cdf_v1,phase8_role_aware_pmf_cal_v1+monotone_inactive_global_v1,role_aware_pmf_cal_v1,rotation,derived_from_projected_minutes,21.2513,20.604,0.05,9.5997,9.5997,9,8,0.0348,0.9652,0.9279,0.8997,0.8639,0.8158,0.757,0.6981,0.6396,0.5624,0.4854,0.4135,0.3448,0.2879,0.2322,0.1813,0.1374,0.1006,0.0745,0.0564,0.0465,0.4135,142.0,-142.0,-0.0662,morning,2026-05-22T17:18:29Z,29bf868b#phase10c,b54c2670-1710-4380-982b-47eacc5477d0,ok,0.0,high,full,current_phase8,fallback_used,projected,derived_from_projected_minutes,bdl_plus_nba_official,2026-05-22T17:17:43Z,projected,not_available_yet,bdl_lineup_freshness_manifest
Alex Caruso,89,OKC,SAS,False,21713530,pts,9.5,9.5,espnbet,-130,100,0.5306,stat_grid:pmf_sim_v1+role_aware_pmf_cal_v1:rotation+monotone_pit_cdf_v1,phase8_role_aware_pmf_cal_v1+monotone_inactive_global_v1,role_aware_pmf_cal_v1,rotation,derived_from_projected_minutes,21.2513,20.604,0.05,9.5997,9.5997,9,8,0.0348,0.9652,0.9279,0.8997,0.8639,0.8158,0.757,0.6981,0.6396,0.5624,0.4854,0.4135,0.3448,0.2879,0.2322,0.1813,0.1374,0.1006,0.0745,0.0564,0.0465,0.4854,106.0,-106.0,-0.0452,morning,2026-05-22T17:18:29Z,29bf868b#phase10c,b54c2670-1710-4380-982b-47eacc5477d0,ok,0.0,high,full,current_phase8,fallback_used,projected,derived_from_projected_minutes,bdl_plus_nba_official,2026-05-22T17:17:43Z,projected,not_available_yet,bdl_lineup_freshness_manifest
Alex Caruso,89,OKC,SAS,False,21713530,pts,10.5,10.5,hardrockbet_az,-110,-120,0.4899,stat_grid:pmf_sim_v1+role_aware_pmf_cal_v1:rotation+monotone_pit_cdf_v1,phase8_role_aware_pmf_cal_v1+monotone_inactive_global_v1,role_aware_pmf_cal_v1,rotation,derived_from_projected_minutes,21.2513,20.604,0.05,9.5997,9.5997,9,8,0.0348,0.9652,0.9279,0.8997,0.8639,0.8158,0.757,0.6981,0.6396,0.5624,0.4854,0.4135,0.3448,0.2879,0.2322,0.1813,0.1374,0.1006,0.0745,0.0564,0.0465,0.4135,142.0,-142.0,-0.0763,morning,2026-05-22T17:18:29Z,29bf868b#phase10c,b54c2670-1710-4380-982b-47eacc5477d0,ok,0.0,high,full,current_phase8,fallback_used,projected,derived_from_projected_minutes,bdl_plus_nba_official,2026-05-22T17:17:43Z,projected,not_available_yet,bdl_lineup_freshness_manifest
Alex Caruso,89,OKC,SAS,False,21713530,pts,10.5,10.5,hardrockbet,-110,-120,0.4899,stat_grid:pmf_sim_v1+role_aware_pmf_cal_v1:rotation+monotone_pit_cdf_v1,phase8_role_aware_pmf_cal_v1+monotone_inactive_global_v1,role_aware_pmf_cal_v1,rotation,derived_from_projected_minutes,21.2513,20.604,0.05,9.5997,9.5997,9,8,0.0348,0.9652,0.9279,0.8997,0.8639,0.8158,0.757,0.6981,0.6396,0.5624,0.4854,0.4135,0.3448,0.2879,0.2322,0.1813,0.1374,0.1006,0.0745,0.0564,0.0465,0.4135,142.0,-142.0,-0.0763,morning,2026-05-22T17:18:29Z,29bf868b#phase10c,b54c2670-1710-4380-982b-47eacc5477d0,ok,0.0,high,full,current_phase8,fallback_used,projected,derived_from_projected_minutes,bdl_plus_nba_official,2026-05-22T17:17:43Z,projected,not_available_yet,bdl_lineup_freshness_manifest
